,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,170.83371,298.48163,289.32541000000003,281.34058,2e-05,2020-03-21 00:00:00
1,AJU,19.1547,-99.1625,859.91296,301.01526,292.6683,285.19009,1e-05,2020-03-21 00:00:00
2,AJM,19.2721,-99.2077,1069.24426,300.1189,291.3963,283.9494,2e-05,2020-03-21 00:00:00
3,ATI,19.577,-99.2541,1114.79053,298.80008,289.54398,282.07959,2e-05,2020-03-21 00:00:00
4,BJU,19.3716,-99.15899999999999,1016.3951400000001,299.42938,290.3703,282.7088,2e-05,2020-03-21 00:00:00
5,CAM,19.4684,-99.1698,1084.5324699999999,299.00982999999997,289.75851,282.06461,2e-05,2020-03-21 00:00:00
6,CCA,19.3262,-99.1761,1036.32544,299.72913,290.81171,283.23456,2e-05,2020-03-21 00:00:00
7,TEC,19.4872,-99.1142,906.79474,298.92331,289.63626,281.78665,1e-05,2020-03-21 00:00:00
8,CHO,19.2669,-98.8861,123.38096999999999,300.32416,291.47516,283.00104,1e-05,2020-03-21 00:00:00
9,COR,19.2653,-99.02600000000001,491.13547,300.26614,291.47598,283.40542999999997,1e-05,2020-03-21 00:00:00
10,CUA,19.3653,-99.2917,1268.94006,299.52255,290.52484,283.1123,2e-05,2020-03-21 00:00:00
11,CUT,19.7222,-99.1986,690.44592,298.74042000000003,289.7085,282.45029,2e-05,2020-03-21 00:00:00
12,DIC,19.2988,-99.1858,1041.99072,299.92224,291.09778,283.57166,2e-05,2020-03-21 00:00:00
13,EAJ,19.2712,-99.204,1060.01001,300.12726000000004,291.40677,283.95172,2e-05,2020-03-21 00:00:00
14,EDL,19.3134,-99.3106,1244.73694,299.83722,291.00158999999996,283.65994,2e-05,2020-03-21 00:00:00
15,FAC,19.4825,-99.2435,1258.92285,299.01678,289.76288,282.20294,2e-05,2020-03-21 00:00:00
16,FAR,19.4737,-99.0462,648.45258,298.93527,289.65567000000004,281.603,1e-05,2020-03-21 00:00:00
17,GAM,19.4827,-99.0945,836.62329,298.92467999999997,289.63934,281.73492000000005,1e-05,2020-03-21 00:00:00
18,HGM,19.4116,-99.1522,1013.2569599999999,299.21472,290.05746,282.349,2e-05,2020-03-21 00:00:00
19,INN,19.292,-99.3805,1274.91174,299.97652999999997,291.22677999999996,283.95239,2e-05,2020-03-21 00:00:00
20,IZT,19.3844,-99.1176,889.25085,299.34747000000004,290.24286,282.45062,1e-05,2020-03-21 00:00:00
21,LPR,19.5347,-99.1177,862.77856,298.73691,289.43242999999995,281.65612999999996,2e-05,2020-03-21 00:00:00
22,LAA,19.4838,-99.1473,1018.33954,298.95004,289.67249,281.91449,2e-05,2020-03-21 00:00:00
23,IBM,19.4433,-99.2154,1190.03992,299.12256,289.92349,282.33896,2e-05,2020-03-21 00:00:00
24,LOM,19.403,-99.2421,1224.90942,299.306,290.19751,282.68835,2e-05,2020-03-21 00:00:00
25,LLA,19.5788,-99.0396,558.76581,298.65328999999997,289.39581,281.49062999999995,2e-05,2020-03-21 00:00:00
26,MER,19.4246,-99.1196,912.16016,299.1409,289.94788,282.13995,1e-05,2020-03-21 00:00:00
27,MGH,19.4041,-99.2026,1147.69141,299.27982000000003,290.15704,282.57693,2e-05,2020-03-21 00:00:00
28,MPA,19.1769,-98.9902,339.88885,301.04977,292.5094,284.32742,1e-05,2020-03-21 00:00:00
29,MON,19.4604,-98.9029,199.10696000000002,299.00748,289.75391,281.3443,1e-05,2020-03-21 00:00:00
30,MCM,19.4291,-99.1319,954.66815,299.12903,289.93179,282.15735,2e-05,2020-03-21 00:00:00
31,NEZ,19.3937,-99.0282,557.30865,299.28699,290.13647000000003,282.03882000000004,1e-05,2020-03-21 00:00:00
32,PED,19.3251,-99.2041,1103.28564,299.7399,290.83661,283.32842999999997,2e-05,2020-03-21 00:00:00
33,SAG,19.533,-99.0303,559.93921,298.67172,289.37003,281.36499,2e-05,2020-03-21 00:00:00
34,SNT,19.2504,-99.2565,1130.02063,300.26764,291.63657,284.30219,2e-05,2020-03-21 00:00:00
35,SFE,19.3574,-99.2629,1229.49695,299.55695,290.57495,283.13766,2e-05,2020-03-21 00:00:00
36,SAC,19.3456,-99.0094,469.22592000000003,299.60901,290.56967000000003,282.41718,1e-05,2020-03-21 00:00:00
37,TAH,19.2465,-99.0106,430.95465,300.44415,291.70709,283.58527000000004,1e-05,2020-03-21 00:00:00
38,TLA,19.5291,-99.2046,1102.72839,298.78516,289.48028999999997,281.88882,2e-05,2020-03-21 00:00:00
39,TLI,19.6025,-99.1772,933.2869300000001,298.76022,289.52924,281.983,2e-05,2020-03-21 00:00:00
40,UIZ,19.3608,-99.0739,717.38477,299.48599,290.42514,282.49573,1e-05,2020-03-21 00:00:00
41,UAX,19.3044,-99.1036,796.03436,299.89844,291.01993,283.23041,1e-05,2020-03-21 00:00:00
42,VIF,19.6582,-99.0966,627.01715,298.65887000000004,289.51288,281.92236,2e-05,2020-03-21 00:00:00
43,XAL,19.526,-99.0824,748.60101,298.71393,289.40308,281.52332,2e-05,2020-03-21 00:00:00
