,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,300.0466,289.95602,282.30392,9e-05,2020-04-01 00:00:00
1,AJU,19.1547,-99.1625,1225.75,301.70651000000004,292.84119,285.00882,0.00014,2020-04-01 00:00:00
2,AJM,19.2721,-99.2077,808.99463,300.76321,291.57687000000004,283.79749,0.00018,2020-04-01 00:00:00
3,ATI,19.577,-99.2541,0.0,299.53979,289.73107999999996,282.02371,0.00022999999999999998,2020-04-01 00:00:00
4,BJU,19.3716,-99.15899999999999,375.2355,300.12579,290.62076,282.89371,0.00018999999999999998,2020-04-01 00:00:00
5,CAM,19.4684,-99.1698,144.06699,299.68896,290.01715,282.31723,0.00021,2020-04-01 00:00:00
6,CCA,19.3262,-99.1761,554.0122700000001,300.40106000000003,291.03094,283.28162000000003,0.00018999999999999998,2020-04-01 00:00:00
7,TEC,19.4872,-99.1142,91.03741,299.71411,289.97437,282.28699,0.00018999999999999998,2020-04-01 00:00:00
8,CHO,19.2669,-98.8861,402.8439,301.33954,291.91693,284.1749,8e-05,2020-04-01 00:00:00
9,COR,19.2653,-99.02600000000001,572.45502,301.13586000000004,291.81427,284.05621,0.00011999999999999999,2020-04-01 00:00:00
10,CUA,19.3653,-99.2917,483.89957000000004,300.08075,290.67554,282.93097,0.00022,2020-04-01 00:00:00
11,CUT,19.7222,-99.1986,0.0,299.93579,289.95153999999997,282.22366,0.00018,2020-04-01 00:00:00
12,DIC,19.2988,-99.1858,672.28259,300.58398,291.30054,283.53699,0.00018,2020-04-01 00:00:00
13,EAJ,19.2712,-99.204,809.40692,300.77515,291.58954,283.81,0.00018,2020-04-01 00:00:00
14,EDL,19.3134,-99.3106,696.02911,300.40648999999996,291.14328,283.37604,0.00021,2020-04-01 00:00:00
15,FAC,19.4825,-99.2435,148.34011999999998,299.58911,289.94931,282.24273999999997,0.00022999999999999998,2020-04-01 00:00:00
16,FAR,19.4737,-99.0462,83.60746999999999,299.87799,290.09598,282.41739,0.00016,2020-04-01 00:00:00
17,GAM,19.4827,-99.0945,89.1039,299.75726000000003,290.00558,282.32071,0.00018,2020-04-01 00:00:00
18,HGM,19.4116,-99.1522,254.6286,299.92465,290.32721000000004,282.61548,0.0002,2020-04-01 00:00:00
19,INN,19.292,-99.3805,799.8431400000001,300.53006,291.353,283.57706,0.00021,2020-04-01 00:00:00
20,IZT,19.3844,-99.1176,303.64227,300.11642,290.54706,282.83117999999996,0.00018,2020-04-01 00:00:00
21,LPR,19.5347,-99.1177,0.0,299.62023999999997,289.7735,282.0907,0.00018999999999999998,2020-04-01 00:00:00
22,LAA,19.4838,-99.1473,108.23091000000001,299.67203,289.96292,282.26965,0.0002,2020-04-01 00:00:00
23,IBM,19.4433,-99.2154,216.15726,299.73441,290.13113,282.41919,0.00022,2020-04-01 00:00:00
24,LOM,19.403,-99.2421,335.23248,299.89264,290.37881,282.6521,0.00022,2020-04-01 00:00:00
25,LLA,19.5788,-99.0396,0.0,299.80066,289.86267000000004,282.19199,0.00015,2020-04-01 00:00:00
26,MER,19.4246,-99.1196,202.08368000000002,299.91245,290.26312,282.56055,0.00018,2020-04-01 00:00:00
27,MGH,19.4041,-99.2026,310.27951,299.91125,290.37012000000004,282.64832,0.00021,2020-04-01 00:00:00
28,MPA,19.1769,-98.9902,776.86261,301.88097999999997,292.79404,284.9942,9e-05,2020-04-01 00:00:00
29,MON,19.4604,-98.9029,78.10783,300.20364,290.36319,282.69698999999997,0.0001,2020-04-01 00:00:00
30,MCM,19.4291,-99.1319,200.92552,299.87732,290.23169,282.52828999999997,0.00018999999999999998,2020-04-01 00:00:00
31,NEZ,19.3937,-99.0282,208.82384,300.23922999999996,290.5694,282.8717,0.00014,2020-04-01 00:00:00
32,PED,19.3251,-99.2041,583.6881099999999,300.37924,291.03241,283.27907999999996,0.00018999999999999998,2020-04-01 00:00:00
33,SAG,19.533,-99.0303,0.0,299.76929,289.85497999999995,282.18915,0.00015,2020-04-01 00:00:00
34,SNT,19.2504,-99.2565,945.112,300.88653999999997,291.79077,283.99686,0.00018,2020-04-01 00:00:00
35,SFE,19.3574,-99.2629,500.32055999999994,300.13632,290.73834,282.99286,0.00021,2020-04-01 00:00:00
36,SAC,19.3456,-99.0094,308.56653,300.5672,290.99451,283.28002999999995,0.00011999999999999999,2020-04-01 00:00:00
37,TAH,19.2465,-99.0106,609.48816,301.31737999999996,292.04181,284.27545,0.00011,2020-04-01 00:00:00
38,TLA,19.5291,-99.2046,0.0,299.50272,289.7077,282.01172,0.00022,2020-04-01 00:00:00
39,TLI,19.6025,-99.1772,0.0,299.64789,289.78885,282.08762,0.0002,2020-04-01 00:00:00
40,UIZ,19.3608,-99.0739,328.78232,300.3327,290.77722,283.05948,0.00016,2020-04-01 00:00:00
41,UAX,19.3044,-99.1036,552.50861,300.67181,291.30328,283.55386,0.00016,2020-04-01 00:00:00
42,VIF,19.6582,-99.0966,0.0,299.85547,289.88403,282.19107,0.00016,2020-04-01 00:00:00
43,XAL,19.526,-99.0824,0.0,299.67087000000004,289.80219,282.1268,0.00016999999999999999,2020-04-01 00:00:00
