,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,17659.72266,294.54177999999996,284.81192000000004,277.84726,2e-05,2019-01-26 00:00:00
1,AJU,19.1547,-99.1625,17812.12109,296.33585,287.05991,279.89187999999996,1e-05,2019-01-26 00:00:00
2,AJM,19.2721,-99.2077,19253.85938,295.1601,285.82687000000004,278.59893999999997,0.0,2019-01-26 00:00:00
3,ATI,19.577,-99.2541,19919.27344,293.72269,284.25158999999996,277.02832,0.0,2019-01-26 00:00:00
4,BJU,19.3716,-99.15899999999999,19322.25195,294.32745,284.95276,277.78192,1e-05,2019-01-26 00:00:00
5,CAM,19.4684,-99.1698,19780.4082,293.76962000000003,284.37335,277.19583,1e-05,2019-01-26 00:00:00
6,CCA,19.3262,-99.1761,19248.95898,294.68341000000004,285.3287,278.13732999999996,1e-05,2019-01-26 00:00:00
7,TEC,19.4872,-99.1142,19279.86719,293.80197000000004,284.38062,277.2612,1e-05,2019-01-26 00:00:00
8,CHO,19.2669,-98.8861,14461.875,295.70788999999996,286.40497,279.63302999999996,2e-05,2019-01-26 00:00:00
9,COR,19.2653,-99.02600000000001,16310.75098,295.52078,286.2077,279.25787,2e-05,2019-01-26 00:00:00
10,CUA,19.3653,-99.2917,20226.29102,294.2887,284.93573,277.66614,0.0,2019-01-26 00:00:00
11,CUT,19.7222,-99.1986,18777.22656,294.54767000000004,284.86768,277.67242000000005,1e-05,2019-01-26 00:00:00
12,DIC,19.2988,-99.1858,19191.05078,294.92105,285.5777,278.37417999999997,0.0,2019-01-26 00:00:00
13,EAJ,19.2712,-99.204,19206.24609,295.17386,285.84116,278.61716,0.0,2019-01-26 00:00:00
14,EDL,19.3134,-99.3106,20099.76758,294.71924,285.37625,278.0903,0.0,2019-01-26 00:00:00
15,FAC,19.4825,-99.2435,20301.59766,293.64014,284.26416,277.03387000000004,0.0,2019-01-26 00:00:00
16,FAR,19.4737,-99.0462,18447.20508,294.009,284.56226000000004,277.52496,1e-05,2019-01-26 00:00:00
17,GAM,19.4827,-99.0945,19058.80664,293.8569,284.42825,277.33081,1e-05,2019-01-26 00:00:00
18,HGM,19.4116,-99.1522,19434.25781,294.07016,284.68066,277.51862,1e-05,2019-01-26 00:00:00
19,INN,19.292,-99.3805,20184.32422,294.88678,285.56237999999996,278.26373,0.0,2019-01-26 00:00:00
20,IZT,19.3844,-99.1176,18896.66602,294.30701,284.9184,277.79755,1e-05,2019-01-26 00:00:00
21,LPR,19.5347,-99.1177,19290.41016,293.76709,284.28461,277.15814,1e-05,2019-01-26 00:00:00
22,LAA,19.4838,-99.1473,19607.46094,293.7478,284.34045,277.18579,1e-05,2019-01-26 00:00:00
23,IBM,19.4433,-99.2154,20064.37109,293.82999,284.45129,277.23492000000005,0.0,2019-01-26 00:00:00
24,LOM,19.403,-99.2421,20121.59375,294.03817999999995,284.672,277.43292,0.0,2019-01-26 00:00:00
25,LLA,19.5788,-99.0396,18535.57227,294.0722,284.50275,277.45038,1e-05,2019-01-26 00:00:00
26,MER,19.4246,-99.1196,19133.42773,294.05138999999997,284.64795,277.52283,1e-05,2019-01-26 00:00:00
27,MGH,19.4041,-99.2026,19868.38281,294.05887,284.68453999999997,277.47314,0.0,2019-01-26 00:00:00
28,MPA,19.1769,-98.9902,14583.2168,296.38535,287.16418,280.31216,2e-05,2019-01-26 00:00:00
29,MON,19.4604,-98.9029,16894.49219,294.41275,284.93051,278.04147,2e-05,2019-01-26 00:00:00
30,MCM,19.4291,-99.1319,19287.27539,294.00806,284.60739,277.46802,1e-05,2019-01-26 00:00:00
31,NEZ,19.3937,-99.0282,17719.71094,294.4444,285.02826,278.03033,1e-05,2019-01-26 00:00:00
32,PED,19.3251,-99.2041,19527.05859,294.66376,285.31183,278.0918,0.0,2019-01-26 00:00:00
33,SAG,19.533,-99.0303,18516.11914,293.97037,284.43686,277.39963,1e-05,2019-01-26 00:00:00
34,SNT,19.2504,-99.2565,19537.11133,295.33734,286.00851,278.73877000000005,0.0,2019-01-26 00:00:00
35,SFE,19.3574,-99.2629,20078.06836,294.35907000000003,285.00461,277.74664,0.0,2019-01-26 00:00:00
36,SAC,19.3456,-99.0094,16987.29688,294.8338,285.44872999999995,278.49341,2e-05,2019-01-26 00:00:00
37,TAH,19.2465,-99.0106,15807.671880000002,295.72955,286.43661000000003,279.51999,2e-05,2019-01-26 00:00:00
38,TLA,19.5291,-99.2046,19908.43359,293.60931,284.16495,276.96756,0.0,2019-01-26 00:00:00
39,TLI,19.6025,-99.1772,19454.88477,293.90079,284.38312,277.20364,1e-05,2019-01-26 00:00:00
40,UIZ,19.3608,-99.0739,18116.63281,294.5654,285.17905,278.12292,1e-05,2019-01-26 00:00:00
41,UAX,19.3044,-99.1036,18091.35352,294.9953,285.64763999999997,278.55551,1e-05,2019-01-26 00:00:00
42,VIF,19.6582,-99.0966,18715.88477,294.29379,284.6575,277.5397,1e-05,2019-01-26 00:00:00
43,XAL,19.526,-99.0824,18996.69336,293.82632,284.33011,277.24014,1e-05,2019-01-26 00:00:00
