,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,291.48093,284.95248,280.04211000000004,1e-05,2020-01-03 00:00:00
1,AJU,19.1547,-99.1625,0.0,291.73206,286.50278,281.7561,2e-05,2020-01-03 00:00:00
2,AJM,19.2721,-99.2077,0.0,291.30637,285.62616,280.70749,2e-05,2020-01-03 00:00:00
3,ATI,19.577,-99.2541,0.0,291.21585,284.62607,279.4231,2e-05,2020-01-03 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,290.92615,284.93494,280.00125,2e-05,2020-01-03 00:00:00
5,CAM,19.4684,-99.1698,0.0,290.71008,284.51007000000004,279.51855,2e-05,2020-01-03 00:00:00
6,CCA,19.3262,-99.1761,0.0,291.08688,285.23028999999997,280.30731000000003,2e-05,2020-01-03 00:00:00
7,TEC,19.4872,-99.1142,0.0,290.66302,284.46512,279.53699,2e-05,2020-01-03 00:00:00
8,CHO,19.2669,-98.8861,0.0,291.16995,285.74011,281.36151,1e-05,2020-01-03 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,291.23407000000003,285.71686,281.13,1e-05,2020-01-03 00:00:00
10,CUA,19.3653,-99.2917,0.0,291.00088999999997,284.99973,279.95831,2e-05,2020-01-03 00:00:00
11,CUT,19.7222,-99.1986,0.0,292.41711000000004,285.38629,279.98578,1e-05,2020-01-03 00:00:00
12,DIC,19.2988,-99.1858,0.0,291.19186,285.4241,280.50989,2e-05,2020-01-03 00:00:00
13,EAJ,19.2712,-99.204,0.0,291.30872,285.63397000000003,280.72083,2e-05,2020-01-03 00:00:00
14,EDL,19.3134,-99.3106,0.0,291.18102999999996,285.33527000000004,280.31482,2e-05,2020-01-03 00:00:00
15,FAC,19.4825,-99.2435,0.0,290.7139,284.47537,279.4173,2e-05,2020-01-03 00:00:00
16,FAR,19.4737,-99.0462,0.0,290.66257,284.53015,279.70642000000004,2e-05,2020-01-03 00:00:00
17,GAM,19.4827,-99.0945,0.0,290.66245,284.48163,279.58133,2e-05,2020-01-03 00:00:00
18,HGM,19.4116,-99.1522,0.0,290.81451,284.72525,279.77727999999996,2e-05,2020-01-03 00:00:00
19,INN,19.292,-99.3805,0.0,291.26346,285.48792000000003,280.46384,2e-05,2020-01-03 00:00:00
20,IZT,19.3844,-99.1176,0.0,290.87161000000003,284.86969,279.98685,2e-05,2020-01-03 00:00:00
21,LPR,19.5347,-99.1177,0.0,290.89291000000003,284.48749,279.47031,2e-05,2020-01-03 00:00:00
22,LAA,19.4838,-99.1473,0.0,290.67795,284.46594,279.49622,2e-05,2020-01-03 00:00:00
23,IBM,19.4433,-99.2154,0.0,290.77283,284.60059,279.57397000000003,2e-05,2020-01-03 00:00:00
24,LOM,19.403,-99.2421,0.0,290.87567,284.78174,279.74997,2e-05,2020-01-03 00:00:00
25,LLA,19.5788,-99.0396,0.0,291.08023,284.6499,279.69336,2e-05,2020-01-03 00:00:00
26,MER,19.4246,-99.1196,0.0,290.77094,284.67041,279.75937000000005,2e-05,2020-01-03 00:00:00
27,MGH,19.4041,-99.2026,0.0,290.85727,284.76837,279.76758,2e-05,2020-01-03 00:00:00
28,MPA,19.1769,-98.9902,0.0,291.53168,286.37942999999996,281.98053,1e-05,2020-01-03 00:00:00
29,MON,19.4604,-98.9029,0.0,290.67859,284.68073,280.04898,1e-05,2020-01-03 00:00:00
30,MCM,19.4291,-99.1319,0.0,290.76732999999996,284.65192,279.72198,2e-05,2020-01-03 00:00:00
31,NEZ,19.3937,-99.0282,0.0,290.81177,284.85323999999997,280.11237,2e-05,2020-01-03 00:00:00
32,PED,19.3251,-99.2041,0.0,291.10352,285.23901,280.28381,2e-05,2020-01-03 00:00:00
33,SAG,19.533,-99.0303,0.0,290.8541,284.51974,279.62335,2e-05,2020-01-03 00:00:00
34,SNT,19.2504,-99.2565,0.0,291.4082,285.78902999999997,280.84143,2e-05,2020-01-03 00:00:00
35,SFE,19.3574,-99.2629,0.0,291.01743,285.04114,280.01825,2e-05,2020-01-03 00:00:00
36,SAC,19.3456,-99.0094,0.0,290.94141,285.1412,280.4826,2e-05,2020-01-03 00:00:00
37,TAH,19.2465,-99.0106,0.0,291.2973,285.86792,281.33655,1e-05,2020-01-03 00:00:00
38,TLA,19.5291,-99.2046,0.0,290.93011,284.46578999999997,279.35181,2e-05,2020-01-03 00:00:00
39,TLI,19.6025,-99.1772,0.0,291.32196,284.71927,279.55182,2e-05,2020-01-03 00:00:00
40,UIZ,19.3608,-99.0739,0.0,290.91907000000003,285.01492,280.22446,2e-05,2020-01-03 00:00:00
41,UAX,19.3044,-99.1036,0.0,291.12985,285.39563,280.60717999999997,2e-05,2020-01-03 00:00:00
42,VIF,19.6582,-99.0966,0.0,291.70178,284.99277,279.83566,2e-05,2020-01-03 00:00:00
43,XAL,19.526,-99.0824,0.0,290.83871,284.47699,279.5163,2e-05,2020-01-03 00:00:00
