,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,17001.25977,299.7941,289.39977999999996,279.98041,0.0,2017-03-29 00:00:00
1,AJU,19.1547,-99.1625,19806.58203,301.22876,291.35947000000004,282.84192,0.0,2017-03-29 00:00:00
2,AJM,19.2721,-99.2077,19317.14062,300.26178,290.25677,281.82166,0.0,2017-03-29 00:00:00
3,ATI,19.577,-99.2541,18183.88086,299.08685,288.84482,280.31076,0.0,2017-03-29 00:00:00
4,BJU,19.3716,-99.15899999999999,18606.73438,299.52713,289.39966,280.88043,0.0,2017-03-29 00:00:00
5,CAM,19.4684,-99.1698,18310.10547,299.05469,288.86298,280.36782999999997,0.0,2017-03-29 00:00:00
6,CCA,19.3262,-99.1761,18902.375,299.83813,289.76434,281.28204,0.0,2017-03-29 00:00:00
7,TEC,19.4872,-99.1142,18048.67578,299.06546000000003,288.83569,280.18457,0.0,2017-03-29 00:00:00
8,CHO,19.2669,-98.8861,18000.05078,300.49408,290.44659,281.38141,0.0,2017-03-29 00:00:00
9,COR,19.2653,-99.02600000000001,18530.82227,300.4259,290.39874,281.58038,0.0,2017-03-29 00:00:00
10,CUA,19.3653,-99.2917,19003.53906,299.53292999999996,289.44982999999996,281.13501,0.0,2017-03-29 00:00:00
11,CUT,19.7222,-99.1986,17803.12891,299.91702000000004,289.57993,280.56847999999997,0.0,2017-03-29 00:00:00
12,DIC,19.2988,-99.1858,19088.74805,300.04596000000004,290.00555,281.53997999999996,0.0,2017-03-29 00:00:00
13,EAJ,19.2712,-99.204,19310.73438,300.27155,290.26715,281.82611,0.0,2017-03-29 00:00:00
14,EDL,19.3134,-99.3106,19293.30469,299.91162,289.87677,281.55515,0.0,2017-03-29 00:00:00
15,FAC,19.4825,-99.2435,18493.69922,298.95889,288.79132000000004,280.4444,0.0,2017-03-29 00:00:00
16,FAR,19.4737,-99.0462,17782.33203,299.21637000000004,288.95596,280.091,0.0,2017-03-29 00:00:00
17,GAM,19.4827,-99.0945,17975.84375,299.10565,288.86716,280.15744,0.0,2017-03-29 00:00:00
18,HGM,19.4116,-99.1522,18413.98438,299.30554,289.14038,280.60199,0.0,2017-03-29 00:00:00
19,INN,19.292,-99.3805,19461.3418,300.06296000000003,290.06032999999996,281.75916,0.0,2017-03-29 00:00:00
20,IZT,19.3844,-99.1176,18378.92578,299.49066,289.33453,280.70886,0.0,2017-03-29 00:00:00
21,LPR,19.5347,-99.1177,17867.60156,299.0744,288.79984,280.06635,0.0,2017-03-29 00:00:00
22,LAA,19.4838,-99.1473,18187.78516,299.02939,288.81879,280.26358,0.0,2017-03-29 00:00:00
23,IBM,19.4433,-99.2154,18525.81641,299.11859,288.95953,280.55987999999996,0.0,2017-03-29 00:00:00
24,LOM,19.403,-99.2421,18739.73828,299.30554,289.18146,280.82071,0.0,2017-03-29 00:00:00
25,LLA,19.5788,-99.0396,17512.49805,299.34726,289.02081,279.9964,0.0,2017-03-29 00:00:00
26,MER,19.4246,-99.1196,18234.71875,299.2771,289.08685,280.46036000000004,0.0,2017-03-29 00:00:00
27,MGH,19.4041,-99.2026,18627.65039,299.31342,289.17557,280.7504,0.0,2017-03-29 00:00:00
28,MPA,19.1769,-98.9902,18825.95508,301.08609,291.19595,282.38027999999997,0.0,2017-03-29 00:00:00
29,MON,19.4604,-98.9029,17342.31641,299.51007000000004,289.20718,279.98068,0.0,2017-03-29 00:00:00
30,MCM,19.4291,-99.1319,18273.07812,299.24527,289.05804,280.46502999999996,0.0,2017-03-29 00:00:00
31,NEZ,19.3937,-99.0282,17925.70898,299.56127999999995,289.35635,280.46289,0.0,2017-03-29 00:00:00
32,PED,19.3251,-99.2041,19004.25391,299.83423,289.76901000000004,281.33722,0.0,2017-03-29 00:00:00
33,SAG,19.533,-99.0303,17519.39648,299.22937,288.90762,279.90631,0.0,2017-03-29 00:00:00
34,SNT,19.2504,-99.2565,19564.41406,300.43523999999996,290.45937999999995,282.07147000000003,0.0,2017-03-29 00:00:00
35,SFE,19.3574,-99.2629,18990.875,299.58911,289.50705,281.16232,0.0,2017-03-29 00:00:00
36,SAC,19.3456,-99.0094,18036.90234,299.86432,289.71088,280.79187,0.0,2017-03-29 00:00:00
37,TAH,19.2465,-99.0106,18561.94922,300.58142000000004,290.58282,281.74597,0.0,2017-03-29 00:00:00
38,TLA,19.5291,-99.2046,18140.38477,298.95575,288.71854,280.19614,0.0,2017-03-29 00:00:00
39,TLI,19.6025,-99.1772,17982.01172,299.24405,288.97089,280.26517,0.0,2017-03-29 00:00:00
40,UIZ,19.3608,-99.0739,18272.39453,299.68201,289.53195,280.78705,0.0,2017-03-29 00:00:00
41,UAX,19.3044,-99.1036,18708.22852,300.0564,289.98895,281.34491,0.0,2017-03-29 00:00:00
42,VIF,19.6582,-99.0966,17617.70117,299.61852999999996,289.28931,280.27164,0.0,2017-03-29 00:00:00
43,XAL,19.526,-99.0824,17735.66992,299.11279,288.82126,279.99039,0.0,2017-03-29 00:00:00
