,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,299.0416,291.86172,285.9473,0.00016,2019-06-21 00:00:00
1,AJU,19.1547,-99.1625,0.0,299.46506,293.39236,287.77698,0.0002,2019-06-21 00:00:00
2,AJM,19.2721,-99.2077,0.0,298.63812,292.49432,287.01773,0.00022999999999999998,2019-06-21 00:00:00
3,ATI,19.577,-99.2541,0.0,297.90015,291.41013,285.90778,0.00023999999999999998,2019-06-21 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,298.14981,291.80612,286.29834,0.00022999999999999998,2019-06-21 00:00:00
5,CAM,19.4684,-99.1698,0.0,297.77367999999996,291.3725,285.90521,0.00023999999999999998,2019-06-21 00:00:00
6,CCA,19.3262,-99.1761,0.0,298.36028999999996,292.09985,286.60156,0.00022999999999999998,2019-06-21 00:00:00
7,TEC,19.4872,-99.1142,0.0,297.8746,291.35001,285.79208,0.00022999999999999998,2019-06-21 00:00:00
8,CHO,19.2669,-98.8861,0.0,299.43509,292.6933,286.59882000000005,0.00014,2019-06-21 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,299.14127,292.63696,286.78232,0.00016999999999999999,2019-06-21 00:00:00
10,CUA,19.3653,-99.2917,0.0,298.00809,291.84252999999995,286.47668,0.00025,2019-06-21 00:00:00
11,CUT,19.7222,-99.1986,0.0,298.95718,292.0943,286.30692,0.00018999999999999998,2019-06-21 00:00:00
12,DIC,19.2988,-99.1858,0.0,298.50415,292.29376,286.79874,0.00022999999999999998,2019-06-21 00:00:00
13,EAJ,19.2712,-99.204,0.0,298.65109,292.50302,287.02057,0.00022999999999999998,2019-06-21 00:00:00
14,EDL,19.3134,-99.3106,0.0,298.28336,292.18384,286.81134,0.00025,2019-06-21 00:00:00
15,FAC,19.4825,-99.2435,0.0,297.61444,291.31549,285.93689,0.00026000000000000003,2019-06-21 00:00:00
16,FAR,19.4737,-99.0462,0.0,298.12064,291.44717,285.75406,0.00021,2019-06-21 00:00:00
17,GAM,19.4827,-99.0945,0.0,297.94055,291.37531,285.78098,0.00022,2019-06-21 00:00:00
18,HGM,19.4116,-99.1522,0.0,297.99213,291.59668,286.08966000000004,0.00023999999999999998,2019-06-21 00:00:00
19,INN,19.292,-99.3805,0.0,298.38477,292.33966000000004,286.98758,0.00025,2019-06-21 00:00:00
20,IZT,19.3844,-99.1176,0.0,298.19629,291.75534,286.17719,0.00022,2019-06-21 00:00:00
21,LPR,19.5347,-99.1177,0.0,297.96906,291.34463999999997,285.75034,0.00022999999999999998,2019-06-21 00:00:00
22,LAA,19.4838,-99.1473,0.0,297.79034,291.33667,285.83578,0.00023999999999999998,2019-06-21 00:00:00
23,IBM,19.4433,-99.2154,0.0,297.76263,291.4502,286.0376,0.00025,2019-06-21 00:00:00
24,LOM,19.403,-99.2421,0.0,297.87466,291.62811,286.23532,0.00025,2019-06-21 00:00:00
25,LLA,19.5788,-99.0396,0.0,298.37982,291.53305,285.79282,0.0002,2019-06-21 00:00:00
26,MER,19.4246,-99.1196,0.0,298.02701,291.55396,285.9935,0.00022999999999999998,2019-06-21 00:00:00
27,MGH,19.4041,-99.2026,0.0,297.92307,291.62393,286.18951,0.00025,2019-06-21 00:00:00
28,MPA,19.1769,-98.9902,0.0,299.75766,293.30304,287.302,0.00014,2019-06-21 00:00:00
29,MON,19.4604,-98.9029,0.0,298.57681,291.65222,285.71783,0.00016999999999999999,2019-06-21 00:00:00
30,MCM,19.4291,-99.1319,0.0,297.98065,291.5304,285.9931,0.00022999999999999998,2019-06-21 00:00:00
31,NEZ,19.3937,-99.0282,0.0,298.43527,291.77716000000004,286.01511,0.00018999999999999998,2019-06-21 00:00:00
32,PED,19.3251,-99.2041,0.0,298.31647000000004,292.10165,286.6434,0.00023999999999999998,2019-06-21 00:00:00
33,SAG,19.533,-99.0303,0.0,298.23911,291.42462,285.69333,0.0002,2019-06-21 00:00:00
34,SNT,19.2504,-99.2565,0.0,298.71725,292.65314,287.21939,0.00022999999999999998,2019-06-21 00:00:00
35,SFE,19.3574,-99.2629,0.0,298.0697,291.88882,286.5018,0.00025,2019-06-21 00:00:00
36,SAC,19.3456,-99.0094,0.0,298.72058,292.07097999999996,286.23962,0.00018,2019-06-21 00:00:00
37,TAH,19.2465,-99.0106,0.0,299.30118,292.79147,286.888,0.00016,2019-06-21 00:00:00
38,TLA,19.5291,-99.2046,0.0,297.76108,291.28494,285.79996,0.00023999999999999998,2019-06-21 00:00:00
39,TLI,19.6025,-99.1772,0.0,298.13489,291.51785,285.9252,0.00022,2019-06-21 00:00:00
40,UIZ,19.3608,-99.0739,0.0,298.43701,291.91904,286.23834,0.00021,2019-06-21 00:00:00
41,UAX,19.3044,-99.1036,0.0,298.6676,292.2894,286.64209,0.00021,2019-06-21 00:00:00
42,VIF,19.6582,-99.0966,0.0,298.66797,291.79941,286.05322,0.0002,2019-06-21 00:00:00
43,XAL,19.526,-99.0824,0.0,298.04761,291.3562,285.71231,0.00022,2019-06-21 00:00:00
