,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,293.29932,284.90283,278.66571,1e-05,2016-12-31 00:00:00
1,AJU,19.1547,-99.1625,869.17065,295.72195,287.32892000000004,281.01068,1e-05,2016-12-31 00:00:00
2,AJM,19.2721,-99.2077,407.74969,294.66848999999996,286.33942,280.02008,2e-05,2016-12-31 00:00:00
3,ATI,19.577,-99.2541,0.0,293.21512,284.87863,278.49777,2e-05,2016-12-31 00:00:00
4,BJU,19.3716,-99.15899999999999,233.77007999999998,293.8197,285.50507000000005,279.17206,2e-05,2016-12-31 00:00:00
5,CAM,19.4684,-99.1698,70.07595,293.30487,285.01477,278.67712,2e-05,2016-12-31 00:00:00
6,CCA,19.3262,-99.1761,322.85089,294.18152000000003,285.85992000000005,279.53174,2e-05,2016-12-31 00:00:00
7,TEC,19.4872,-99.1142,70.69621,293.2417,284.92831,278.58914,2e-05,2016-12-31 00:00:00
8,CHO,19.2669,-98.8861,1308.25305,294.72711,286.2366,279.86066,1e-05,2016-12-31 00:00:00
9,COR,19.2653,-99.02600000000001,966.54974,294.72992,286.30145,279.94772,1e-05,2016-12-31 00:00:00
10,CUA,19.3653,-99.2917,155.83524,293.91418,285.63513,279.30966,2e-05,2016-12-31 00:00:00
11,CUT,19.7222,-99.1986,0.0,293.63916,285.15567000000004,278.74146,2.9999999999999997e-05,2016-12-31 00:00:00
12,DIC,19.2988,-99.1858,377.15207000000004,294.41895,286.0918,279.76709,2e-05,2016-12-31 00:00:00
13,EAJ,19.2712,-99.204,417.74023,294.67731000000003,286.3465,280.02676,2e-05,2016-12-31 00:00:00
14,EDL,19.3134,-99.3106,223.24274,294.32489,286.03258999999997,279.71494,2e-05,2016-12-31 00:00:00
15,FAC,19.4825,-99.2435,47.29392,293.27051,285.00574,278.66823999999997,2e-05,2016-12-31 00:00:00
16,FAR,19.4737,-99.0462,130.44533,293.30829,284.95617999999996,278.61551000000003,1e-05,2016-12-31 00:00:00
17,GAM,19.4827,-99.0945,84.73033000000001,293.25842,284.93462999999997,278.59515,2e-05,2016-12-31 00:00:00
18,HGM,19.4116,-99.1522,158.53668000000002,293.56378,285.25604,278.92041,2e-05,2016-12-31 00:00:00
19,INN,19.292,-99.3805,227.9726,294.50217000000004,286.22534,279.91879,2e-05,2016-12-31 00:00:00
20,IZT,19.3844,-99.1176,256.97919,293.73248,285.40125,279.06433,2e-05,2016-12-31 00:00:00
21,LPR,19.5347,-99.1177,0.0,293.13608,284.80219,278.4563,2e-05,2016-12-31 00:00:00
22,LAA,19.4838,-99.1473,61.3951,293.24792,284.95004,278.61145,2e-05,2016-12-31 00:00:00
23,IBM,19.4433,-99.2154,83.1932,293.42072,285.14249,278.80722000000003,2e-05,2016-12-31 00:00:00
24,LOM,19.403,-99.2421,121.64441000000001,293.64435,285.36545,279.03427,2e-05,2016-12-31 00:00:00
25,LLA,19.5788,-99.0396,0.0,293.20786,284.83801,278.52087,2e-05,2016-12-31 00:00:00
26,MER,19.4246,-99.1196,161.57512,293.49152000000004,285.17114,278.83337,2e-05,2016-12-31 00:00:00
27,MGH,19.4041,-99.2026,137.01773,293.62384,285.3342,279.00153,2e-05,2016-12-31 00:00:00
28,MPA,19.1769,-98.9902,1578.17908,295.51425,287.02972,280.65881,1e-05,2016-12-31 00:00:00
29,MON,19.4604,-98.9029,280.98419,293.46828999999997,285.04639,278.70135,1e-05,2016-12-31 00:00:00
30,MCM,19.4291,-99.1319,143.99983,293.47128,285.15771,278.8204,2e-05,2016-12-31 00:00:00
31,NEZ,19.3937,-99.0282,363.73098999999996,293.69302000000005,285.31329,278.96875,1e-05,2016-12-31 00:00:00
32,PED,19.3251,-99.2041,285.73532,294.19696,285.8855,279.56012000000004,2e-05,2016-12-31 00:00:00
33,SAG,19.533,-99.0303,0.0,293.15362999999996,284.7919,278.46851000000004,1e-05,2016-12-31 00:00:00
34,SNT,19.2504,-99.2565,381.65756,294.87366000000003,286.55002,280.23846000000003,2e-05,2016-12-31 00:00:00
35,SFE,19.3574,-99.2629,177.45228999999998,293.96271,285.67661,279.3512,2e-05,2016-12-31 00:00:00
36,SAC,19.3456,-99.0094,597.8056,294.03442,285.62833,279.27847,1e-05,2016-12-31 00:00:00
37,TAH,19.2465,-99.0106,1121.6652800000002,294.90689,286.46161,280.10291,1e-05,2016-12-31 00:00:00
38,TLA,19.5291,-99.2046,0.0,293.12158,284.81085,278.44948999999997,2e-05,2016-12-31 00:00:00
39,TLI,19.6025,-99.1772,0.0,293.26379,284.9014,278.5304,2e-05,2016-12-31 00:00:00
40,UIZ,19.3608,-99.0739,400.33508,293.89807,285.53531,279.19409,1e-05,2016-12-31 00:00:00
41,UAX,19.3044,-99.1036,545.25323,294.36539,285.99985,279.66275,1e-05,2016-12-31 00:00:00
42,VIF,19.6582,-99.0966,0.0,293.38049,284.97601000000003,278.64052999999996,2e-05,2016-12-31 00:00:00
43,XAL,19.526,-99.0824,0.0,293.13202,284.78986000000003,278.45248,2e-05,2016-12-31 00:00:00
