,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,295.84665,288.15881,281.54196,8e-05,2019-07-30 00:00:00
1,AJU,19.1547,-99.1625,0.0,296.936,290.05249,283.1814,0.00013000000000000002,2019-07-30 00:00:00
2,AJM,19.2721,-99.2077,0.0,296.33258,289.25421,282.53052,0.00016,2019-07-30 00:00:00
3,ATI,19.577,-99.2541,0.0,295.57922,288.11465,281.63367,0.00018,2019-07-30 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,295.86566,288.53333,281.90637000000004,0.00016,2019-07-30 00:00:00
5,CAM,19.4684,-99.1698,0.0,295.57434,288.12613,281.5686,0.00016999999999999999,2019-07-30 00:00:00
6,CCA,19.3262,-99.1761,0.0,296.06519,288.83768,282.16956,0.00016,2019-07-30 00:00:00
7,TEC,19.4872,-99.1142,0.0,295.55219,288.03472999999997,281.46341,0.00016,2019-07-30 00:00:00
8,CHO,19.2669,-98.8861,0.0,296.44788,288.96426,282.14059,7e-05,2019-07-30 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,296.41733,289.0979,282.31006,0.00011,2019-07-30 00:00:00
10,CUA,19.3653,-99.2917,0.0,295.89841,288.67996,282.06995,0.00018999999999999998,2019-07-30 00:00:00
11,CUT,19.7222,-99.1986,0.0,295.98526,288.52579,282.05066,0.00013000000000000002,2019-07-30 00:00:00
12,DIC,19.2988,-99.1858,0.0,296.1965,289.0365,282.34033,0.00016,2019-07-30 00:00:00
13,EAJ,19.2712,-99.204,0.0,296.33829,289.25836,282.53267999999997,0.00016,2019-07-30 00:00:00
14,EDL,19.3134,-99.3106,0.0,296.12759,289.02136,282.35797,0.00018,2019-07-30 00:00:00
15,FAC,19.4825,-99.2435,0.0,295.54254,288.13556,281.60321,0.00018999999999999998,2019-07-30 00:00:00
16,FAR,19.4737,-99.0462,0.0,295.60828,288.03006,281.42017000000004,0.00013000000000000002,2019-07-30 00:00:00
17,GAM,19.4827,-99.0945,0.0,295.56665,288.03265,281.45099,0.00015,2019-07-30 00:00:00
18,HGM,19.4116,-99.1522,0.0,295.72357,288.32232999999997,281.72552,0.00016999999999999999,2019-07-30 00:00:00
19,INN,19.292,-99.3805,0.0,296.22818,289.1958,282.53485,0.00018999999999999998,2019-07-30 00:00:00
20,IZT,19.3844,-99.1176,0.0,295.82709,288.42767000000003,281.79675,0.00015,2019-07-30 00:00:00
21,LPR,19.5347,-99.1177,0.0,295.53629,287.98267000000004,281.44588999999996,0.00015,2019-07-30 00:00:00
22,LAA,19.4838,-99.1473,0.0,295.54749,288.06445,281.5058,0.00016999999999999999,2019-07-30 00:00:00
23,IBM,19.4433,-99.2154,0.0,295.63086,288.24634,281.68737999999996,0.00018,2019-07-30 00:00:00
24,LOM,19.403,-99.2421,0.0,295.75226000000004,288.44177,281.85971,0.00018999999999999998,2019-07-30 00:00:00
25,LLA,19.5788,-99.0396,0.0,295.64716,288.03345,281.46027000000004,0.00011999999999999999,2019-07-30 00:00:00
26,MER,19.4246,-99.1196,0.0,295.69104,288.23828,281.63833999999997,0.00016,2019-07-30 00:00:00
27,MGH,19.4041,-99.2026,0.0,295.7467,288.40561,281.81708,0.00018,2019-07-30 00:00:00
28,MPA,19.1769,-98.9902,0.0,296.87088,289.6492,282.75922,9e-05,2019-07-30 00:00:00
29,MON,19.4604,-98.9029,0.0,295.73107999999996,288.0528,281.37137,9e-05,2019-07-30 00:00:00
30,MCM,19.4291,-99.1319,0.0,295.67651,288.23227,281.63962000000004,0.00016,2019-07-30 00:00:00
31,NEZ,19.3937,-99.0282,0.0,295.83081,288.30798,281.64412999999996,0.00011999999999999999,2019-07-30 00:00:00
32,PED,19.3251,-99.2041,0.0,296.06824,288.87085,282.20801,0.00016999999999999999,2019-07-30 00:00:00
33,SAG,19.533,-99.0303,0.0,295.58014,287.95078,281.36707,0.00011999999999999999,2019-07-30 00:00:00
34,SNT,19.2504,-99.2565,0.0,296.44088999999997,289.44946,282.70648,0.00016999999999999999,2019-07-30 00:00:00
35,SFE,19.3574,-99.2629,0.0,295.92831,288.71057,282.09015,0.00018,2019-07-30 00:00:00
36,SAC,19.3456,-99.0094,0.0,296.02924,288.54868,281.83679,0.00011,2019-07-30 00:00:00
37,TAH,19.2465,-99.0106,0.0,296.52182,289.21417,282.40054,0.0001,2019-07-30 00:00:00
38,TLA,19.5291,-99.2046,0.0,295.504,288.01038,281.51083,0.00018,2019-07-30 00:00:00
39,TLI,19.6025,-99.1772,0.0,295.64182,288.14261,281.6405,0.00016,2019-07-30 00:00:00
40,UIZ,19.3608,-99.0739,0.0,295.93304,288.51312,281.84387000000004,0.00013000000000000002,2019-07-30 00:00:00
41,UAX,19.3044,-99.1036,0.0,296.18747,288.91208,282.19693,0.00014,2019-07-30 00:00:00
42,VIF,19.6582,-99.0966,0.0,295.8103,288.26373,281.73382999999995,0.00011999999999999999,2019-07-30 00:00:00
43,XAL,19.526,-99.0824,0.0,295.54143999999997,287.95621,281.39968999999996,0.00014,2019-07-30 00:00:00
