,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,291.59842000000003,285.81717000000003,281.03357,0.00013000000000000002,2017-10-03 00:00:00
1,AJU,19.1547,-99.1625,0.0,294.4444,288.7218,283.43619,0.0002,2017-10-03 00:00:00
2,AJM,19.2721,-99.2077,0.0,293.63025,287.68829,282.55792,0.00018,2017-10-03 00:00:00
3,ATI,19.577,-99.2541,0.0,292.39661,286.14249,281.36896,0.00016,2017-10-03 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,292.77496,286.72769,281.7063,0.00016999999999999999,2017-10-03 00:00:00
5,CAM,19.4684,-99.1698,0.0,292.3465,286.20132,281.25347999999997,0.00016999999999999999,2017-10-03 00:00:00
6,CCA,19.3262,-99.1761,0.0,293.13727,287.13507000000004,282.06708,0.00018,2017-10-03 00:00:00
7,TEC,19.4872,-99.1142,0.0,292.12592,286.03674,281.08356000000003,0.00016,2017-10-03 00:00:00
8,CHO,19.2669,-98.8861,0.0,292.83496,287.20416,281.99765,0.0002,2017-10-03 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,293.16857999999996,287.42037999999997,282.24005,0.00018999999999999998,2017-10-03 00:00:00
10,CUA,19.3653,-99.2917,0.0,293.09259,286.97078999999997,281.95583999999997,0.00018,2017-10-03 00:00:00
11,CUT,19.7222,-99.1986,0.0,292.60559,286.44571,281.88965,0.00014,2017-10-03 00:00:00
12,DIC,19.2988,-99.1858,0.0,293.36829,287.39862,282.29944,0.00018,2017-10-03 00:00:00
13,EAJ,19.2712,-99.204,0.0,293.63034,287.69268999999997,282.56042,0.00018,2017-10-03 00:00:00
14,EDL,19.3134,-99.3106,0.0,293.46143,287.41,282.33835,0.00018,2017-10-03 00:00:00
15,FAC,19.4825,-99.2435,0.0,292.47122,286.25708,281.32727,0.00016999999999999999,2017-10-03 00:00:00
16,FAR,19.4737,-99.0462,0.0,291.95615,285.97015,280.98831,0.00016,2017-10-03 00:00:00
17,GAM,19.4827,-99.0945,0.0,292.07849,286.01724,281.05649,0.00016,2017-10-03 00:00:00
18,HGM,19.4116,-99.1522,0.0,292.52859,286.44608,281.45837,0.00016999999999999999,2017-10-03 00:00:00
19,INN,19.292,-99.3805,0.0,293.67899,287.64133,282.54312000000004,0.00018,2017-10-03 00:00:00
20,IZT,19.3844,-99.1176,0.0,292.57732999999996,286.56219,281.54278999999997,0.00016999999999999999,2017-10-03 00:00:00
21,LPR,19.5347,-99.1177,0.0,292.0332,285.91693,281.05481000000003,0.00016,2017-10-03 00:00:00
22,LAA,19.4838,-99.1473,0.0,292.23251,286.10339,281.15802,0.00016999999999999999,2017-10-03 00:00:00
23,IBM,19.4433,-99.2154,0.0,292.55194,286.38522,281.43008,0.00016999999999999999,2017-10-03 00:00:00
24,LOM,19.403,-99.2421,0.0,292.7962,286.64984,281.66757,0.00016999999999999999,2017-10-03 00:00:00
25,LLA,19.5788,-99.0396,0.0,291.84157999999996,285.85977,281.01425,0.00015,2017-10-03 00:00:00
26,MER,19.4246,-99.1196,0.0,292.36859,286.31201,281.3262,0.00016999999999999999,2017-10-03 00:00:00
27,MGH,19.4041,-99.2026,0.0,292.707,286.58527000000004,281.59982,0.00016999999999999999,2017-10-03 00:00:00
28,MPA,19.1769,-98.9902,0.0,293.77982000000003,288.1785,282.88455,0.00022,2017-10-03 00:00:00
29,MON,19.4604,-98.9029,0.0,291.70297,285.901,280.86362,0.00015,2017-10-03 00:00:00
30,MCM,19.4291,-99.1319,0.0,292.38766,286.31305,281.33316,0.00016999999999999999,2017-10-03 00:00:00
31,NEZ,19.3937,-99.0282,0.0,292.24042000000003,286.33643,281.29715,0.00016999999999999999,2017-10-03 00:00:00
32,PED,19.3251,-99.2041,0.0,293.21227999999996,287.18967000000004,282.1246,0.00018,2017-10-03 00:00:00
33,SAG,19.533,-99.0303,0.0,291.7623,285.78326,280.88791000000003,0.00015,2017-10-03 00:00:00
34,SNT,19.2504,-99.2565,0.0,293.88013,287.94957999999997,282.79614,0.00018,2017-10-03 00:00:00
35,SFE,19.3574,-99.2629,0.0,293.10321,287.00256,281.97815,0.00018,2017-10-03 00:00:00
36,SAC,19.3456,-99.0094,0.0,292.48624,286.65625,281.56557999999995,0.00018,2017-10-03 00:00:00
37,TAH,19.2465,-99.0106,0.0,293.28302,287.57672,282.36884,0.0002,2017-10-03 00:00:00
38,TLA,19.5291,-99.2046,0.0,292.24707,286.02367999999996,281.18953999999997,0.00016,2017-10-03 00:00:00
39,TLI,19.6025,-99.1772,0.0,292.29053,286.11099,281.34515,0.00016,2017-10-03 00:00:00
40,UIZ,19.3608,-99.0739,0.0,292.58005,286.64713,281.5929,0.00016999999999999999,2017-10-03 00:00:00
41,UAX,19.3044,-99.1036,0.0,293.09589,287.19982999999996,282.08975,0.00018,2017-10-03 00:00:00
42,VIF,19.6582,-99.0966,0.0,292.16339,286.11761,281.41083,0.00014,2017-10-03 00:00:00
43,XAL,19.526,-99.0824,0.0,291.91534,285.85233,280.96909,0.00015,2017-10-03 00:00:00
