,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,291.79773,286.23427999999996,282.117,5.9999999999999995e-05,2016-10-08 00:00:00
1,AJU,19.1547,-99.1625,0.0,295.94061,289.60602,284.38229,0.0001,2016-10-08 00:00:00
2,AJM,19.2721,-99.2077,0.0,294.46161,288.36397999999997,283.62457,0.0001,2016-10-08 00:00:00
3,ATI,19.577,-99.2541,0.0,292.20532000000003,286.47652999999997,282.51187000000004,9e-05,2016-10-08 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,293.20651000000004,287.26062,282.85907000000003,9e-05,2016-10-08 00:00:00
5,CAM,19.4684,-99.1698,0.0,292.48267000000004,286.63782000000003,282.46021,9e-05,2016-10-08 00:00:00
6,CCA,19.3262,-99.1761,0.0,293.74432,287.7298,283.1817,9e-05,2016-10-08 00:00:00
7,TEC,19.4872,-99.1142,0.0,292.30011,286.47528,282.30289,8e-05,2016-10-08 00:00:00
8,CHO,19.2669,-98.8861,0.0,294.28751,288.0,283.00692999999995,5e-05,2016-10-08 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,294.39313,288.17407000000003,283.2688,7e-05,2016-10-08 00:00:00
10,CUA,19.3653,-99.2917,0.0,293.45105,287.49765,283.09839,0.0001,2016-10-08 00:00:00
11,CUT,19.7222,-99.1986,0.0,292.29297,286.73059,282.85675,8e-05,2016-10-08 00:00:00
12,DIC,19.2988,-99.1858,0.0,294.09204,288.03412000000003,283.38977,0.0001,2016-10-08 00:00:00
13,EAJ,19.2712,-99.204,0.0,294.47174,288.37094,283.62576,0.0001,2016-10-08 00:00:00
14,EDL,19.3134,-99.3106,0.0,294.0271,288.00854,283.44318,0.00011,2016-10-08 00:00:00
15,FAC,19.4825,-99.2435,0.0,292.52179,286.67474,282.53137000000004,9e-05,2016-10-08 00:00:00
16,FAR,19.4737,-99.0462,0.0,292.27112,286.4404,282.20758,7e-05,2016-10-08 00:00:00
17,GAM,19.4827,-99.0945,0.0,292.28976,286.46411,282.27612,8e-05,2016-10-08 00:00:00
18,HGM,19.4116,-99.1522,0.0,292.82861,286.9339,282.63895,9e-05,2016-10-08 00:00:00
19,INN,19.292,-99.3805,0.0,294.31644,288.27164,283.63684,0.00011,2016-10-08 00:00:00
20,IZT,19.3844,-99.1176,0.0,293.02396,287.09094,282.70544,8e-05,2016-10-08 00:00:00
21,LPR,19.5347,-99.1177,0.0,292.03955,286.30026000000004,282.24777,8e-05,2016-10-08 00:00:00
22,LAA,19.4838,-99.1473,0.0,292.36578,286.53479,282.37292,8e-05,2016-10-08 00:00:00
23,IBM,19.4433,-99.2154,0.0,292.70349,286.83386,282.62183,9e-05,2016-10-08 00:00:00
24,LOM,19.403,-99.2421,0.0,293.04337000000004,287.13428,282.83648999999997,0.0001,2016-10-08 00:00:00
25,LLA,19.5788,-99.0396,0.0,291.94263,286.26077000000004,282.17645,7e-05,2016-10-08 00:00:00
26,MER,19.4246,-99.1196,0.0,292.67511,286.79528999999997,282.51645,8e-05,2016-10-08 00:00:00
27,MGH,19.4041,-99.2026,0.0,292.97787,287.07245,282.77209,9e-05,2016-10-08 00:00:00
28,MPA,19.1769,-98.9902,0.0,295.57111000000003,289.10056000000003,283.79523,5.9999999999999995e-05,2016-10-08 00:00:00
29,MON,19.4604,-98.9029,0.0,292.29498,286.43585,282.07446,5e-05,2016-10-08 00:00:00
30,MCM,19.4291,-99.1319,0.0,292.66483,286.78922,282.52496,8e-05,2016-10-08 00:00:00
31,NEZ,19.3937,-99.0282,0.0,292.82138,286.88707999999997,282.46625,7e-05,2016-10-08 00:00:00
32,PED,19.3251,-99.2041,0.0,293.7912,287.7804,283.23897999999997,0.0001,2016-10-08 00:00:00
33,SAG,19.533,-99.0303,0.0,291.91489,286.19922,282.08926,7e-05,2016-10-08 00:00:00
34,SNT,19.2504,-99.2565,0.0,294.77179,288.65302,283.84702000000004,0.00011,2016-10-08 00:00:00
35,SFE,19.3574,-99.2629,0.0,293.50336,287.54107999999997,283.11638999999997,0.0001,2016-10-08 00:00:00
36,SAC,19.3456,-99.0094,0.0,293.31329,287.28012,282.68765,5.9999999999999995e-05,2016-10-08 00:00:00
37,TAH,19.2465,-99.0106,0.0,294.64972,288.37102999999996,283.37027,5.9999999999999995e-05,2016-10-08 00:00:00
38,TLA,19.5291,-99.2046,0.0,292.13687000000004,286.38095,282.37415,9e-05,2016-10-08 00:00:00
39,TLI,19.6025,-99.1772,0.0,292.15439,286.45514,282.47283999999996,8e-05,2016-10-08 00:00:00
40,UIZ,19.3608,-99.0739,0.0,293.20178,287.2218,282.73532,7e-05,2016-10-08 00:00:00
41,UAX,19.3044,-99.1036,0.0,293.93295,287.85213999999996,283.1774,8e-05,2016-10-08 00:00:00
42,VIF,19.6582,-99.0966,0.0,292.07919,286.46698,282.47412,8e-05,2016-10-08 00:00:00
43,XAL,19.526,-99.0824,0.0,291.98639,286.25073,282.17172,7e-05,2016-10-08 00:00:00
