,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,128.45105,300.66888,292.21664,285.26236,0.00049,2016-05-27 00:00:00
1,AJU,19.1547,-99.1625,0.0,303.03842000000003,294.74475,288.28604,0.00045999999999999996,2016-05-27 00:00:00
2,AJM,19.2721,-99.2077,0.0,302.1795,293.60675,287.06927,0.0006,2016-05-27 00:00:00
3,ATI,19.577,-99.2541,145.60406,301.0264,291.95428,285.22556000000003,0.0007599999999999999,2016-05-27 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,301.35748,292.67492999999996,286.0463,0.00065,2016-05-27 00:00:00
5,CAM,19.4684,-99.1698,0.0,300.92004,292.11456,285.44504,0.0007099999999999999,2016-05-27 00:00:00
6,CCA,19.3262,-99.1761,0.0,301.70734,293.07122999999996,286.48187,0.00063,2016-05-27 00:00:00
7,TEC,19.4872,-99.1142,0.0,300.74625,292.04218,285.33588,0.0006799999999999999,2016-05-27 00:00:00
8,CHO,19.2669,-98.8861,0.0,301.68195,293.60452000000004,286.95709,0.00039,2016-05-27 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,301.89941,293.6333,287.03128,0.00047000000000000004,2016-05-27 00:00:00
10,CUA,19.3653,-99.2917,0.0,301.603,292.78778,286.20727999999997,0.0007,2016-05-27 00:00:00
11,CUT,19.7222,-99.1986,403.90985,301.49432,292.34631,285.46667,0.0006799999999999999,2016-05-27 00:00:00
12,DIC,19.2988,-99.1858,0.0,301.9317,293.33136,286.76624,0.00061,2016-05-27 00:00:00
13,EAJ,19.2712,-99.204,0.0,302.18228,293.61581,287.07806,0.00059,2016-05-27 00:00:00
14,EDL,19.3134,-99.3106,0.0,301.96698,293.23904,286.69287,0.00066,2016-05-27 00:00:00
15,FAC,19.4825,-99.2435,0.0,301.00101,292.08005,285.43712999999997,0.00075,2016-05-27 00:00:00
16,FAR,19.4737,-99.0462,0.0,300.64258,292.10913,285.36618,0.00061,2016-05-27 00:00:00
17,GAM,19.4827,-99.0945,0.0,300.71671000000003,292.05902000000003,285.34252999999995,0.00066,2016-05-27 00:00:00
18,HGM,19.4116,-99.1522,0.0,301.11633,292.39554,285.74039,0.0006799999999999999,2016-05-27 00:00:00
19,INN,19.292,-99.3805,2.79947,302.15442,293.44992,286.9249,0.00065,2016-05-27 00:00:00
20,IZT,19.3844,-99.1176,0.0,301.19653,292.57513,285.918,0.00063,2016-05-27 00:00:00
21,LPR,19.5347,-99.1177,65.65829000000001,300.71234,291.91476,285.15735,0.0006900000000000001,2016-05-27 00:00:00
22,LAA,19.4838,-99.1473,0.0,300.82416,292.05106,285.36447000000004,0.0007,2016-05-27 00:00:00
23,IBM,19.4433,-99.2154,0.0,301.0957,292.24365,285.60332999999997,0.00073,2016-05-27 00:00:00
24,LOM,19.403,-99.2421,0.0,301.32544,292.4899,285.87686,0.00072,2016-05-27 00:00:00
25,LLA,19.5788,-99.0396,89.75522,300.65854,292.02297999999996,285.19116,0.00061,2016-05-27 00:00:00
26,MER,19.4246,-99.1196,0.0,300.9845,292.3139,285.63489,0.00066,2016-05-27 00:00:00
27,MGH,19.4041,-99.2026,0.0,301.25739,292.46521,285.83765,0.0007,2016-05-27 00:00:00
28,MPA,19.1769,-98.9902,0.0,302.56189,294.46417,287.93723,0.00037,2016-05-27 00:00:00
29,MON,19.4604,-98.9029,0.0,300.50607,292.27173,285.47153,0.0005,2016-05-27 00:00:00
30,MCM,19.4291,-99.1319,0.0,300.99252,292.29303,285.61884,0.00067,2016-05-27 00:00:00
31,NEZ,19.3937,-99.0282,0.0,300.95148,292.52057,285.80756,0.00056,2016-05-27 00:00:00
32,PED,19.3251,-99.2041,0.0,301.76242,293.09143,286.51306,0.00064,2016-05-27 00:00:00
33,SAG,19.533,-99.0303,48.81374,300.53467,291.95877,285.14676000000003,0.00061,2016-05-27 00:00:00
34,SNT,19.2504,-99.2565,0.0,302.40454,293.83679,287.3259,0.00059,2016-05-27 00:00:00
35,SFE,19.3574,-99.2629,0.0,301.62311,292.83977999999996,286.25766,0.0006900000000000001,2016-05-27 00:00:00
36,SAC,19.3456,-99.0094,0.0,301.22287,292.88388,286.19775,0.0005200000000000001,2016-05-27 00:00:00
37,TAH,19.2465,-99.0106,0.0,302.03311,293.8194,287.23065,0.00044,2016-05-27 00:00:00
38,TLA,19.5291,-99.2046,79.00975,300.85607999999996,291.88223,285.16684,0.00075,2016-05-27 00:00:00
39,TLI,19.6025,-99.1772,162.88863999999998,300.99301,292.01547,285.2453,0.00072,2016-05-27 00:00:00
40,UIZ,19.3608,-99.0739,0.0,301.246,292.74786,286.08263999999997,0.00058,2016-05-27 00:00:00
41,UAX,19.3044,-99.1036,0.0,301.73465,293.25854,286.65515,0.00056,2016-05-27 00:00:00
42,VIF,19.6582,-99.0966,221.0578,301.0437,292.17888999999997,285.31674,0.00064,2016-05-27 00:00:00
43,XAL,19.526,-99.0824,51.50357,300.62329,291.92047,285.14545,0.00066,2016-05-27 00:00:00
