,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,24469.99805,295.45346,285.30551,277.76761,1e-05,2018-12-29 00:00:00
1,AJU,19.1547,-99.1625,28747.32617,296.9173,287.61581,280.91739,0.0,2018-12-29 00:00:00
2,AJM,19.2721,-99.2077,29428.914060000003,295.8797,286.68102999999996,280.19104,0.0,2018-12-29 00:00:00
3,ATI,19.577,-99.2541,28656.65625,294.71951,285.46207000000004,278.93292,0.0,2018-12-29 00:00:00
4,BJU,19.3716,-99.15899999999999,28606.8418,295.17261,285.90674,279.36768,0.0,2018-12-29 00:00:00
5,CAM,19.4684,-99.1698,28662.683589999997,294.68631,285.45403999999996,278.98145,0.0,2018-12-29 00:00:00
6,CCA,19.3262,-99.1761,28914.73828,295.47595,286.23956,279.71808,0.0,2018-12-29 00:00:00
7,TEC,19.4872,-99.1142,27823.316410000003,294.73093,285.34653,278.70874,0.0,2018-12-29 00:00:00
8,CHO,19.2669,-98.8861,23522.32617,296.48212,286.65328999999997,279.23427999999996,0.0,2018-12-29 00:00:00
9,COR,19.2653,-99.02600000000001,25830.10938,296.2702,286.68768,279.6297,0.0,2018-12-29 00:00:00
10,CUA,19.3653,-99.2917,29966.83203,295.11121,286.04537999999997,279.74585,0.0,2018-12-29 00:00:00
11,CUT,19.7222,-99.1986,26925.01562,295.58841,285.87021,278.76202,0.0,2018-12-29 00:00:00
12,DIC,19.2988,-99.1858,29093.472660000003,295.67892,286.45465,279.93811,0.0,2018-12-29 00:00:00
13,EAJ,19.2712,-99.204,29378.08203,295.89276,286.68805,280.18896,0.0,2018-12-29 00:00:00
14,EDL,19.3134,-99.3106,30185.179689999997,295.48062000000004,286.40091,280.08008,0.0,2018-12-29 00:00:00
15,FAC,19.4825,-99.2435,29423.878910000003,294.55884,285.47281,279.16247999999996,0.0,2018-12-29 00:00:00
16,FAR,19.4737,-99.0462,26658.75781,294.93396,285.33801,278.4585,0.0,2018-12-29 00:00:00
17,GAM,19.4827,-99.0945,27510.097660000003,294.78485,285.34259,278.63922,0.0,2018-12-29 00:00:00
18,HGM,19.4116,-99.1522,28462.089839999997,294.95169,285.67184,279.13122999999996,0.0,2018-12-29 00:00:00
19,INN,19.292,-99.3805,30429.13672,295.61969,286.57001,280.28552,0.0,2018-12-29 00:00:00
20,IZT,19.3844,-99.1176,27911.06055,295.16895,285.79967999999997,279.14052999999996,0.0,2018-12-29 00:00:00
21,LPR,19.5347,-99.1177,27559.64062,294.73425,285.27468999999996,278.54645,0.0,2018-12-29 00:00:00
22,LAA,19.4838,-99.1473,28331.00977,294.67383,285.38364,278.84963999999997,0.0,2018-12-29 00:00:00
23,IBM,19.4433,-99.2154,29221.164060000003,294.72772000000003,285.58718999999996,279.21283,0.0,2018-12-29 00:00:00
24,LOM,19.403,-99.2421,29543.6543,294.90216000000004,285.79587000000004,279.45428,0.0,2018-12-29 00:00:00
25,LLA,19.5788,-99.0396,26241.49219,295.02457000000004,285.27539,278.21567000000005,0.0,2018-12-29 00:00:00
26,MER,19.4246,-99.1196,27937.92578,294.9458,285.58063,278.94543,0.0,2018-12-29 00:00:00
27,MGH,19.4041,-99.2026,29155.085939999997,294.92792000000003,285.75858,279.34436,0.0,2018-12-29 00:00:00
28,MPA,19.1769,-98.9902,24778.84961,297.04745,287.44794,280.22269,0.0,2018-12-29 00:00:00
29,MON,19.4604,-98.9029,24585.11328,295.32651,285.37146,278.06924,0.0,2018-12-29 00:00:00
30,MCM,19.4291,-99.1319,28135.320310000003,294.90417,285.57239,278.97729,0.0,2018-12-29 00:00:00
31,NEZ,19.3937,-99.0282,26210.25781,295.32285,285.69012000000004,278.71692,0.0,2018-12-29 00:00:00
32,PED,19.3251,-99.2041,29299.01562,295.45087,286.26428,279.80719,0.0,2018-12-29 00:00:00
33,SAG,19.533,-99.0303,26266.54883,294.9213,285.19513,278.1795,0.0,2018-12-29 00:00:00
34,SNT,19.2504,-99.2565,29977.96289,296.02203,286.86688,280.43726000000004,0.0,2018-12-29 00:00:00
35,SFE,19.3574,-99.2629,29806.14062,295.1756,286.07944,279.74271,0.0,2018-12-29 00:00:00
36,SAC,19.3456,-99.0094,25724.28711,295.67267000000004,286.00665,278.94208,0.0,2018-12-29 00:00:00
37,TAH,19.2465,-99.0106,25444.55078,296.46057,286.85532,279.73441,0.0,2018-12-29 00:00:00
38,TLA,19.5291,-99.2046,28579.527339999997,294.58817,285.33847000000003,278.83536000000004,0.0,2018-12-29 00:00:00
39,TLI,19.6025,-99.1772,27884.070310000003,294.89297,285.4657,278.74426,0.0,2018-12-29 00:00:00
40,UIZ,19.3608,-99.0739,27055.628910000003,295.41143999999997,285.92084,279.09607,0.0,2018-12-29 00:00:00
41,UAX,19.3044,-99.1036,27618.68555,295.77448,286.37377999999995,279.61887,0.0,2018-12-29 00:00:00
42,VIF,19.6582,-99.0966,26536.59375,295.27155,285.53351000000004,278.44092,1e-05,2018-12-29 00:00:00
43,XAL,19.526,-99.0824,27073.36914,294.78641,285.22974,278.39993,0.0,2018-12-29 00:00:00
