,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,296.74408,289.14092999999997,283.07596,0.00022999999999999998,2018-07-17 00:00:00
1,AJU,19.1547,-99.1625,0.0,297.45554,290.89367999999996,285.1864,0.00028,2018-07-17 00:00:00
2,AJM,19.2721,-99.2077,0.0,296.95715,290.03671,284.29221,0.00035,2018-07-17 00:00:00
3,ATI,19.577,-99.2541,0.0,296.5192,288.85281000000003,282.95166,0.00043,2018-07-17 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,296.62271,289.35815,283.53997999999996,0.00037,2018-07-17 00:00:00
5,CAM,19.4684,-99.1698,0.0,296.39783,288.94025,283.09595,0.0004,2018-07-17 00:00:00
6,CCA,19.3262,-99.1761,0.0,296.76941,289.64722,283.85944,0.00036,2018-07-17 00:00:00
7,TEC,19.4872,-99.1142,0.0,296.38806,288.90344,283.0249,0.00036,2018-07-17 00:00:00
8,CHO,19.2669,-98.8861,0.0,297.27853,290.13342,284.20511,0.00016999999999999999,2018-07-17 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,297.16463999999996,290.11633,284.26135,0.00023999999999999998,2018-07-17 00:00:00
10,CUA,19.3653,-99.2917,0.0,296.6178,289.41666000000004,283.65051,0.00041,2018-07-17 00:00:00
11,CUT,19.7222,-99.1986,0.0,297.03787,289.24062999999995,283.19952,0.00037999999999999997,2018-07-17 00:00:00
12,DIC,19.2988,-99.1858,0.0,296.86505,289.83752000000004,284.06866,0.00036,2018-07-17 00:00:00
13,EAJ,19.2712,-99.204,0.0,296.96344,290.04431,284.29865,0.00035,2018-07-17 00:00:00
14,EDL,19.3134,-99.3106,0.0,296.7785,289.74953999999997,284.01166,0.0004,2018-07-17 00:00:00
15,FAC,19.4825,-99.2435,0.0,296.36835,288.89893,283.0809,0.00043,2018-07-17 00:00:00
16,FAR,19.4737,-99.0462,0.0,296.44397000000004,288.97656,283.05942000000005,0.00031,2018-07-17 00:00:00
17,GAM,19.4827,-99.0945,0.0,296.40222,288.92224,283.03323,0.00035,2018-07-17 00:00:00
18,HGM,19.4116,-99.1522,0.0,296.51498,289.15326,283.31586,0.00037,2018-07-17 00:00:00
19,INN,19.292,-99.3805,0.0,296.82457999999997,289.90045,284.19907,0.0004,2018-07-17 00:00:00
20,IZT,19.3844,-99.1176,0.0,296.6073,289.29706,283.44998,0.00035,2018-07-17 00:00:00
21,LPR,19.5347,-99.1177,0.0,296.42761,288.82974,282.91003,0.00037,2018-07-17 00:00:00
22,LAA,19.4838,-99.1473,0.0,296.38031,288.89968999999996,283.04016,0.00037999999999999997,2018-07-17 00:00:00
23,IBM,19.4433,-99.2154,0.0,296.43408,289.02521,283.20731,0.00041,2018-07-17 00:00:00
24,LOM,19.403,-99.2421,0.0,296.51886,289.20251,283.40771,0.00041,2018-07-17 00:00:00
25,LLA,19.5788,-99.0396,0.0,296.53943,288.94556,282.9671,0.00031,2018-07-17 00:00:00
26,MER,19.4246,-99.1196,0.0,296.49768,289.10275,283.24271,0.00036,2018-07-17 00:00:00
27,MGH,19.4041,-99.2026,0.0,296.52103,289.19167999999996,283.38202,0.0004,2018-07-17 00:00:00
28,MPA,19.1769,-98.9902,0.0,297.60629,290.74576,284.90869,0.0002,2018-07-17 00:00:00
29,MON,19.4604,-98.9029,0.0,296.56872999999996,289.13812,283.15576,0.00021,2018-07-17 00:00:00
30,MCM,19.4291,-99.1319,0.0,296.48325,289.08344,283.22925,0.00037,2018-07-17 00:00:00
31,NEZ,19.3937,-99.0282,0.0,296.64407,289.28873,283.38025,0.00028,2018-07-17 00:00:00
32,PED,19.3251,-99.2041,0.0,296.76044,289.6554,283.88122999999996,0.00037,2018-07-17 00:00:00
33,SAG,19.533,-99.0303,0.0,296.45224,288.88721,282.92349,0.0003,2018-07-17 00:00:00
34,SNT,19.2504,-99.2565,0.0,297.01678,290.19894,284.48273,0.00036,2018-07-17 00:00:00
35,SFE,19.3574,-99.2629,0.0,296.64282000000003,289.45856000000003,283.68927,0.00041,2018-07-17 00:00:00
36,SAC,19.3456,-99.0094,0.0,296.82928,289.56549,283.66247999999996,0.00026000000000000003,2018-07-17 00:00:00
37,TAH,19.2465,-99.0106,0.0,297.27054,290.25995,284.40407999999996,0.00022999999999999998,2018-07-17 00:00:00
38,TLA,19.5291,-99.2046,0.0,296.41055,288.78616,282.90085,0.00042,2018-07-17 00:00:00
39,TLI,19.6025,-99.1772,0.0,296.58383,288.9194,282.9837,0.00039,2018-07-17 00:00:00
40,UIZ,19.3608,-99.0739,0.0,296.71365,289.44086,283.57431,0.00031,2018-07-17 00:00:00
41,UAX,19.3044,-99.1036,0.0,296.90747000000005,289.80896,283.98904,0.00031,2018-07-17 00:00:00
42,VIF,19.6582,-99.0966,0.0,296.77005,289.08542,283.07816,0.00033999999999999997,2018-07-17 00:00:00
43,XAL,19.526,-99.0824,0.0,296.42166000000003,288.8414,282.90765,0.00033999999999999997,2018-07-17 00:00:00
