,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,295.65542999999997,289.32092,284.69705,0.0002,2018-09-03 00:00:00
1,AJU,19.1547,-99.1625,0.0,295.66302,290.72626,286.68958,0.0002,2018-09-03 00:00:00
2,AJM,19.2721,-99.2077,0.0,295.0556,289.90407999999996,285.92773,0.00022,2018-09-03 00:00:00
3,ATI,19.577,-99.2541,0.0,294.63791000000003,288.90045,284.88312,0.00026000000000000003,2018-09-03 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,294.78494,289.30255,285.24347,0.00022999999999999998,2018-09-03 00:00:00
5,CAM,19.4684,-99.1698,0.0,294.52951,288.91284,284.8623,0.00023999999999999998,2018-09-03 00:00:00
6,CCA,19.3262,-99.1761,0.0,294.90598,289.56076,285.53516,0.00022999999999999998,2018-09-03 00:00:00
7,TEC,19.4872,-99.1142,0.0,294.64648,288.90384,284.74719,0.00022999999999999998,2018-09-03 00:00:00
8,CHO,19.2669,-98.8861,0.0,296.02194,290.21013999999997,285.67545,0.00018999999999999998,2018-09-03 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,295.65637000000004,290.10986,285.79379,0.0002,2018-09-03 00:00:00
10,CUA,19.3653,-99.2917,0.0,294.60147,289.31212999999997,285.40585,0.00023999999999999998,2018-09-03 00:00:00
11,CUT,19.7222,-99.1986,0.0,295.48389,289.43942000000004,285.22583,0.00025,2018-09-03 00:00:00
12,DIC,19.2988,-99.1858,0.0,294.99005,289.73132000000004,285.72345,0.00022,2018-09-03 00:00:00
13,EAJ,19.2712,-99.204,0.0,295.06793,289.91299,285.93172999999996,0.00022,2018-09-03 00:00:00
14,EDL,19.3134,-99.3106,0.0,294.76666,289.61169,285.71729,0.00022999999999999998,2018-09-03 00:00:00
15,FAC,19.4825,-99.2435,0.0,294.37878,288.85196,284.89963,0.00025,2018-09-03 00:00:00
16,FAR,19.4737,-99.0462,0.0,294.88101,289.00723,284.70557,0.00022,2018-09-03 00:00:00
17,GAM,19.4827,-99.0945,0.0,294.70923,288.93079,284.73471,0.00022999999999999998,2018-09-03 00:00:00
18,HGM,19.4116,-99.1522,0.0,294.68796000000003,289.1167,285.04053,0.00022999999999999998,2018-09-03 00:00:00
19,INN,19.292,-99.3805,0.0,294.80984,289.74158,285.8764,0.00023999999999999998,2018-09-03 00:00:00
20,IZT,19.3844,-99.1176,0.0,294.86087000000003,289.26849,285.13022,0.00022999999999999998,2018-09-03 00:00:00
21,LPR,19.5347,-99.1177,0.0,294.73505,288.87671,284.69241,0.00023999999999999998,2018-09-03 00:00:00
22,LAA,19.4838,-99.1473,0.0,294.5603,288.88518999999997,284.79312000000004,0.00023999999999999998,2018-09-03 00:00:00
23,IBM,19.4433,-99.2154,0.0,294.48816,288.97443,284.99179,0.00025,2018-09-03 00:00:00
24,LOM,19.403,-99.2421,0.0,294.54156,289.12811,285.17944,0.00023999999999999998,2018-09-03 00:00:00
25,LLA,19.5788,-99.0396,0.0,295.09235,289.04327,284.67562999999996,0.00022,2018-09-03 00:00:00
26,MER,19.4246,-99.1196,0.0,294.74365,289.08627,284.94727,0.00022999999999999998,2018-09-03 00:00:00
27,MGH,19.4041,-99.2026,0.0,294.59827,289.13037,285.13574,0.00023999999999999998,2018-09-03 00:00:00
28,MPA,19.1769,-98.9902,0.0,296.17044,290.7438,286.37949,0.00018999999999999998,2018-09-03 00:00:00
29,MON,19.4604,-98.9029,0.0,295.31436,289.22211,284.67007,0.0002,2018-09-03 00:00:00
30,MCM,19.4291,-99.1319,0.0,294.70023,289.06203999999997,284.94647000000003,0.00022999999999999998,2018-09-03 00:00:00
31,NEZ,19.3937,-99.0282,0.0,295.12994,289.31592,284.9823,0.00021,2018-09-03 00:00:00
32,PED,19.3251,-99.2041,0.0,294.85025,289.55511,285.56976000000003,0.00022999999999999998,2018-09-03 00:00:00
33,SAG,19.533,-99.0303,0.0,294.98752,288.96387000000004,284.59647,0.00022,2018-09-03 00:00:00
34,SNT,19.2504,-99.2565,0.0,295.06744,290.03418,286.10687,0.00022,2018-09-03 00:00:00
35,SFE,19.3574,-99.2629,0.0,294.6525,289.35596,285.42981000000003,0.00023999999999999998,2018-09-03 00:00:00
36,SAC,19.3456,-99.0094,0.0,295.36298,289.59354,285.22693,0.0002,2018-09-03 00:00:00
37,TAH,19.2465,-99.0106,0.0,295.7966,290.25955,285.91727000000003,0.0002,2018-09-03 00:00:00
38,TLA,19.5291,-99.2046,0.0,294.53983,288.81039,284.7699,0.00025,2018-09-03 00:00:00
39,TLI,19.6025,-99.1772,0.0,294.84247,288.99627999999996,284.87369,0.00025,2018-09-03 00:00:00
40,UIZ,19.3608,-99.0739,0.0,295.0806,289.43143,285.20242,0.00022,2018-09-03 00:00:00
41,UAX,19.3044,-99.1036,0.0,295.20342999999997,289.7569,285.60077,0.00021,2018-09-03 00:00:00
42,VIF,19.6582,-99.0966,0.0,295.29129,289.2312,284.92349,0.00022999999999999998,2018-09-03 00:00:00
43,XAL,19.526,-99.0824,0.0,294.81307999999996,288.89603,284.64191,0.00022999999999999998,2018-09-03 00:00:00
