,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,298.17795,290.26251,282.71255,1e-05,2017-08-07 00:00:00
1,AJU,19.1547,-99.1625,0.0,299.50079,292.13977,285.41956,2e-05,2017-08-07 00:00:00
2,AJM,19.2721,-99.2077,0.0,299.00714,291.41681,284.64594,2.9999999999999997e-05,2017-08-07 00:00:00
3,ATI,19.577,-99.2541,0.0,298.58331,290.59494,283.50097999999997,2.9999999999999997e-05,2017-08-07 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,298.54761,290.74542,283.75299,2.9999999999999997e-05,2017-08-07 00:00:00
5,CAM,19.4684,-99.1698,0.0,298.3028,290.38049,283.3269,2.9999999999999997e-05,2017-08-07 00:00:00
6,CCA,19.3262,-99.1761,0.0,298.74518,291.03143,284.1279,2.9999999999999997e-05,2017-08-07 00:00:00
7,TEC,19.4872,-99.1142,0.0,298.1933,290.25142999999997,283.07825,2e-05,2017-08-07 00:00:00
8,CHO,19.2669,-98.8861,0.0,298.78148999999996,291.08468999999997,283.54337000000004,1e-05,2017-08-07 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,298.883,291.23355,283.9967,1e-05,2017-08-07 00:00:00
10,CUA,19.3653,-99.2917,0.0,298.69092,290.92728,284.12714,2.9999999999999997e-05,2017-08-07 00:00:00
11,CUT,19.7222,-99.1986,0.0,299.17107999999996,291.21799,283.92261,2.9999999999999997e-05,2017-08-07 00:00:00
12,DIC,19.2988,-99.1858,0.0,298.87067,291.21539,284.36707,2.9999999999999997e-05,2017-08-07 00:00:00
13,EAJ,19.2712,-99.204,0.0,299.00909,291.41986,284.64342999999997,2.9999999999999997e-05,2017-08-07 00:00:00
14,EDL,19.3134,-99.3106,0.0,298.88779,291.22815,284.51132,2.9999999999999997e-05,2017-08-07 00:00:00
15,FAC,19.4825,-99.2435,0.0,298.36028999999996,290.4335,283.47614,2.9999999999999997e-05,2017-08-07 00:00:00
16,FAR,19.4737,-99.0462,0.0,298.12045,290.18634,282.86786,2e-05,2017-08-07 00:00:00
17,GAM,19.4827,-99.0945,0.0,298.17242000000005,290.2326,283.02017,2e-05,2017-08-07 00:00:00
18,HGM,19.4116,-99.1522,0.0,298.41052,290.54739,283.50171,2.9999999999999997e-05,2017-08-07 00:00:00
19,INN,19.292,-99.3805,0.0,298.98514,291.3822,284.74265,2.9999999999999997e-05,2017-08-07 00:00:00
20,IZT,19.3844,-99.1176,0.0,298.45364,290.62317,283.52716000000004,2e-05,2017-08-07 00:00:00
21,LPR,19.5347,-99.1177,0.0,298.25699,290.27657999999997,283.04944,2.9999999999999997e-05,2017-08-07 00:00:00
22,LAA,19.4838,-99.1473,0.0,298.24445,290.30682,283.20169,2.9999999999999997e-05,2017-08-07 00:00:00
23,IBM,19.4433,-99.2154,0.0,298.40753,290.51666,283.55237,2.9999999999999997e-05,2017-08-07 00:00:00
24,LOM,19.403,-99.2421,0.0,298.53662,290.7027,283.81079,2.9999999999999997e-05,2017-08-07 00:00:00
25,LLA,19.5788,-99.0396,0.0,298.21225,290.25323,282.87737999999996,2e-05,2017-08-07 00:00:00
26,MER,19.4246,-99.1196,0.0,298.33148,290.44696,283.32232999999997,2e-05,2017-08-07 00:00:00
27,MGH,19.4041,-99.2026,0.0,298.49518,290.65283,283.70679,2.9999999999999997e-05,2017-08-07 00:00:00
28,MPA,19.1769,-98.9902,0.0,299.30328,291.79156,284.52179,1e-05,2017-08-07 00:00:00
29,MON,19.4604,-98.9029,0.0,298.02356000000003,290.10927999999996,282.53781000000004,1e-05,2017-08-07 00:00:00
30,MCM,19.4291,-99.1319,0.0,298.33759,290.4502,283.34897,2.9999999999999997e-05,2017-08-07 00:00:00
31,NEZ,19.3937,-99.0282,0.0,298.30637,290.44788,283.12177,2e-05,2017-08-07 00:00:00
32,PED,19.3251,-99.2041,0.0,298.77547999999996,291.07135,284.22058,2.9999999999999997e-05,2017-08-07 00:00:00
33,SAG,19.533,-99.0303,0.0,298.09421000000003,290.12741,282.74447999999995,2e-05,2017-08-07 00:00:00
34,SNT,19.2504,-99.2565,0.0,299.12689,291.59674,284.92548,2.9999999999999997e-05,2017-08-07 00:00:00
35,SFE,19.3574,-99.2629,0.0,298.70035,290.9469,284.13196,2.9999999999999997e-05,2017-08-07 00:00:00
36,SAC,19.3456,-99.0094,0.0,298.47327,290.67838,283.33405,1e-05,2017-08-07 00:00:00
37,TAH,19.2465,-99.0106,0.0,298.96939,291.3486,284.08475,1e-05,2017-08-07 00:00:00
38,TLA,19.5291,-99.2046,0.0,298.38602000000003,290.3956,283.2926,2.9999999999999997e-05,2017-08-07 00:00:00
39,TLI,19.6025,-99.1772,0.0,298.56497,290.58727999999996,283.40247,2.9999999999999997e-05,2017-08-07 00:00:00
40,UIZ,19.3608,-99.0739,0.0,298.48236,290.67749,283.49062999999995,2e-05,2017-08-07 00:00:00
41,UAX,19.3044,-99.1036,0.0,298.76691,291.07318,284.02322000000004,2e-05,2017-08-07 00:00:00
42,VIF,19.6582,-99.0966,0.0,298.61789,290.66873,283.34103,2.9999999999999997e-05,2017-08-07 00:00:00
43,XAL,19.526,-99.0824,0.0,298.17307,290.19675,282.90979,2e-05,2017-08-07 00:00:00
