,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,0.0,296.16422,289.54028,284.5491,0.00075,2019-07-13 00:00:00
1,AJU,19.1547,-99.1625,0.0,295.82617,290.52286000000004,286.48306,0.0007099999999999999,2019-07-13 00:00:00
2,AJM,19.2721,-99.2077,0.0,295.18372,289.85175,285.95215,0.00091,2019-07-13 00:00:00
3,ATI,19.577,-99.2541,0.0,294.6062,289.10995,285.28546,0.00118,2019-07-13 00:00:00
4,BJU,19.3716,-99.15899999999999,0.0,294.91736000000003,289.3606,285.35927999999996,0.00098,2019-07-13 00:00:00
5,CAM,19.4684,-99.1698,0.0,294.64032000000003,289.04247999999995,285.07996,0.00106,2019-07-13 00:00:00
6,CCA,19.3262,-99.1761,0.0,295.03314,289.57147000000003,285.61234,0.00095,2019-07-13 00:00:00
7,TEC,19.4872,-99.1142,0.0,294.82611,289.03491,284.88116,0.00099,2019-07-13 00:00:00
8,CHO,19.2669,-98.8861,0.0,296.27686,290.10098,285.29242,0.0005099999999999999,2019-07-13 00:00:00
9,COR,19.2653,-99.02600000000001,0.0,295.8616,290.01941,285.56595,0.00066,2019-07-13 00:00:00
10,CUA,19.3653,-99.2917,0.0,294.65991,289.36871,285.63095,0.00107,2019-07-13 00:00:00
11,CUT,19.7222,-99.1986,0.0,295.44003,289.711,285.617,0.0011300000000000001,2019-07-13 00:00:00
12,DIC,19.2988,-99.1858,0.0,295.1181,289.71069,285.7709,0.0009199999999999999,2019-07-13 00:00:00
13,EAJ,19.2712,-99.204,0.0,295.19763,289.85901,285.95092999999997,0.0009,2019-07-13 00:00:00
14,EDL,19.3134,-99.3106,0.0,294.84888,289.61322,285.86987,0.0010199999999999999,2019-07-13 00:00:00
15,FAC,19.4825,-99.2435,0.0,294.42081,288.99304,285.21262,0.00114,2019-07-13 00:00:00
16,FAR,19.4737,-99.0462,0.0,295.15598,289.11896,284.6987,0.00088,2019-07-13 00:00:00
17,GAM,19.4827,-99.0945,0.0,294.91528,289.05682,284.83038,0.0009599999999999999,2019-07-13 00:00:00
18,HGM,19.4116,-99.1522,0.0,294.82324,289.20886,285.18807999999996,0.001,2019-07-13 00:00:00
19,INN,19.292,-99.3805,0.0,294.89294,289.72211,286.01653999999996,0.00101,2019-07-13 00:00:00
20,IZT,19.3844,-99.1176,0.0,295.03213999999997,289.33263999999997,285.19568,0.00093,2019-07-13 00:00:00
21,LPR,19.5347,-99.1177,0.0,294.89194,289.0564,284.88379,0.00103,2019-07-13 00:00:00
22,LAA,19.4838,-99.1473,0.0,294.69666,289.01984,284.98407000000003,0.0010400000000000001,2019-07-13 00:00:00
23,IBM,19.4433,-99.2154,0.0,294.56057999999996,289.09292999999997,285.24777,0.00109,2019-07-13 00:00:00
24,LOM,19.403,-99.2421,0.0,294.60632000000004,289.21844,285.4216,0.00108,2019-07-13 00:00:00
25,LLA,19.5788,-99.0396,0.0,295.38892000000004,289.2291,284.71674,0.00091,2019-07-13 00:00:00
26,MER,19.4246,-99.1196,0.0,294.91425,289.18387,285.0535,0.0009699999999999999,2019-07-13 00:00:00
27,MGH,19.4041,-99.2026,0.0,294.6889,289.22021,285.3421,0.00105,2019-07-13 00:00:00
28,MPA,19.1769,-98.9902,0.0,296.31847999999997,290.53711,286.01279,0.0005200000000000001,2019-07-13 00:00:00
29,MON,19.4604,-98.9029,0.0,295.74466,289.29382000000004,284.41632000000004,0.00067,2019-07-13 00:00:00
30,MCM,19.4291,-99.1319,0.0,294.85669,289.16415,285.07651,0.00099,2019-07-13 00:00:00
31,NEZ,19.3937,-99.0282,0.0,295.40421000000003,289.37097,284.89075,0.0008,2019-07-13 00:00:00
32,PED,19.3251,-99.2041,0.0,294.96198,289.56689,285.6756,0.0009699999999999999,2019-07-13 00:00:00
33,SAG,19.533,-99.0303,0.0,295.30365,289.12979,284.60385,0.0008900000000000001,2019-07-13 00:00:00
34,SNT,19.2504,-99.2565,0.0,295.19516,289.95797999999996,286.12683,0.00091,2019-07-13 00:00:00
35,SFE,19.3574,-99.2629,0.0,294.72485,289.40448,285.62854,0.00105,2019-07-13 00:00:00
36,SAC,19.3456,-99.0094,0.0,295.63141,289.59763,285.05945,0.00073,2019-07-13 00:00:00
37,TAH,19.2465,-99.0106,0.0,295.99463,290.1416,285.64627,0.00062,2019-07-13 00:00:00
38,TLA,19.5291,-99.2046,0.0,294.57251,289.00208,285.10693,0.00114,2019-07-13 00:00:00
39,TLI,19.6025,-99.1772,0.0,294.88574,289.20685,285.18945,0.0011099999999999999,2019-07-13 00:00:00
40,UIZ,19.3608,-99.0739,0.0,295.29391,289.46552,285.16611,0.00085,2019-07-13 00:00:00
41,UAX,19.3044,-99.1036,0.0,295.37878,289.73135,285.54599,0.0008300000000000001,2019-07-13 00:00:00
42,VIF,19.6582,-99.0966,0.0,295.45993,289.46515,285.11615,0.001,2019-07-13 00:00:00
43,XAL,19.526,-99.0824,0.0,295.03494,289.06735,284.75726000000003,0.0009699999999999999,2019-07-13 00:00:00
