,Station_code,latitud,longitud,HOURNORAIN,T2MMAX,T2MMEAN,T2MMIN,TPRECMAX,FECHA
0,ACO,19.6355,-98.912,27738.183589999997,298.96454,289.58954,282.22433,0.0,2019-03-25 00:00:00
1,AJU,19.1547,-99.1625,32595.66797,303.08496,292.37424,283.52957000000004,0.0,2019-03-25 00:00:00
2,AJM,19.2721,-99.2077,32949.44531,301.68579,291.15762,282.46985,0.0,2019-03-25 00:00:00
3,ATI,19.577,-99.2541,32297.80078,299.52783,289.39948,281.0195,0.0,2019-03-25 00:00:00
4,BJU,19.3716,-99.15899999999999,32160.79102,300.49948,290.2218,281.78258999999997,0.0,2019-03-25 00:00:00
5,CAM,19.4684,-99.1698,32139.69727,299.81622000000004,289.63812,281.28592000000003,0.0,2019-03-25 00:00:00
6,CCA,19.3262,-99.1761,32472.972660000003,301.00838999999996,290.62289,282.07571,0.0,2019-03-25 00:00:00
7,TEC,19.4872,-99.1142,31367.10938,299.63831,289.58521,281.38583,0.0,2019-03-25 00:00:00
8,CHO,19.2669,-98.8861,28364.51172,301.52722,291.41776,283.22534,0.0,2019-03-25 00:00:00
9,COR,19.2653,-99.02600000000001,30161.64453,301.62479,291.3454,282.95331,0.0,2019-03-25 00:00:00
10,CUA,19.3653,-99.2917,33332.59375,300.73489,290.2923,281.65594,0.0,2019-03-25 00:00:00
11,CUT,19.7222,-99.1986,30837.76367,299.50995,289.6647,281.54028,0.0,2019-03-25 00:00:00
12,DIC,19.2988,-99.1858,32651.621089999997,301.33698,290.88614,282.27515,0.0,2019-03-25 00:00:00
13,EAJ,19.2712,-99.204,32910.74219,301.69537,291.16925,282.48444,0.0,2019-03-25 00:00:00
14,EDL,19.3134,-99.3106,33528.50391,301.27692,290.74725,282.03472999999997,0.0,2019-03-25 00:00:00
15,FAC,19.4825,-99.2435,32834.60938,299.85861,289.58297999999996,281.10489,0.0,2019-03-25 00:00:00
16,FAR,19.4737,-99.0462,30327.60742,299.60382000000004,289.68716,281.66425,0.0,2019-03-25 00:00:00
17,GAM,19.4827,-99.0945,31085.59375,299.6265,289.61115,281.46057,0.0,2019-03-25 00:00:00
18,HGM,19.4116,-99.1522,31995.35938,300.14178,289.93564,281.56737999999996,0.0,2019-03-25 00:00:00
19,INN,19.292,-99.3805,33789.14844,301.54187,290.95447,282.18286,0.0,2019-03-25 00:00:00
20,IZT,19.3844,-99.1176,31551.183589999997,300.32452,290.14142000000004,281.81323,0.0,2019-03-25 00:00:00
21,LPR,19.5347,-99.1177,31111.789060000003,299.36395,289.40726,281.28879,0.0,2019-03-25 00:00:00
22,LAA,19.4838,-99.1473,31831.17578,299.7037,289.58109,281.29449,0.0,2019-03-25 00:00:00
23,IBM,19.4433,-99.2154,32653.73438,300.02789,289.75597999999997,281.29467999999997,0.0,2019-03-25 00:00:00
24,LOM,19.403,-99.2421,32952.79297,300.34955,289.99982,281.45837,0.0,2019-03-25 00:00:00
25,LLA,19.5788,-99.0396,29751.152339999997,299.22006,289.49017000000003,281.66208,0.0,2019-03-25 00:00:00
26,MER,19.4246,-99.1196,31522.089839999997,299.99408,289.86658,281.59137000000004,0.0,2019-03-25 00:00:00
27,MGH,19.4041,-99.2026,32609.42773,300.28589,289.98627,281.50583,0.0,2019-03-25 00:00:00
28,MPA,19.1769,-98.9902,29673.40625,302.75101,292.28503,283.69957999999997,0.0,2019-03-25 00:00:00
29,MON,19.4604,-98.9029,28515.375,299.6156,289.91823999999997,282.18124,0.0,2019-03-25 00:00:00
30,MCM,19.4291,-99.1319,31692.13672,299.98528999999996,289.83878,281.53836,0.0,2019-03-25 00:00:00
31,NEZ,19.3937,-99.0282,30080.26367,300.12671,290.14099,282.05484,0.0,2019-03-25 00:00:00
32,PED,19.3251,-99.2041,32790.27344,301.05322,290.62903,282.03589,0.0,2019-03-25 00:00:00
33,SAG,19.533,-99.0303,29800.74414,299.22067000000004,289.46771,281.62421,0.0,2019-03-25 00:00:00
34,SNT,19.2504,-99.2565,33395.73438,301.97766,291.37102999999996,282.60355,0.0,2019-03-25 00:00:00
35,SFE,19.3574,-99.2629,33195.67969,300.78339,290.35092000000003,281.73096,0.0,2019-03-25 00:00:00
36,SAC,19.3456,-99.0094,29807.117189999997,300.59503,290.54778999999996,282.40387000000004,0.0,2019-03-25 00:00:00
37,TAH,19.2465,-99.0106,29930.77148,301.87009,291.56183,283.14215,0.0,2019-03-25 00:00:00
38,TLA,19.5291,-99.2046,32135.941410000003,299.47357,289.35876,281.02731,0.0,2019-03-25 00:00:00
39,TLI,19.6025,-99.1772,31531.804689999997,299.45517,289.45255,281.23041,0.0,2019-03-25 00:00:00
40,UIZ,19.3608,-99.0739,30870.32812,300.49112,290.3537,282.09195,0.0,2019-03-25 00:00:00
41,UAX,19.3044,-99.1036,31459.960939999997,301.18604,290.87094,282.41965,0.0,2019-03-25 00:00:00
42,VIF,19.6582,-99.0966,30114.95508,299.30768,289.55411000000004,281.63947,0.0,2019-03-25 00:00:00
43,XAL,19.526,-99.0824,30617.94727,299.3078,289.42548,281.41061,0.0,2019-03-25 00:00:00
