CO,DIFF,FECHA,HOURNORAIN,NO,NO2,NOX,O3,PM10,PM25,PMCO,RH,SO2,Station_code,T2MMAX,T2MMEAN,T2MMIN,TMP,TPRECMAX,WDR,WSP,class_tmp,latitud,longitud,prev_CO,prev_NO2,prev_NOX,prev_O3,prev_PM10,prev_PM25,prev_PMCO,prev_SO2
1.925,-1.4110633333,2016-01-14 00:00:00,0,5.3333333333,9.75,15.125,25.9583333333,6.9166666667,3.625,3.3333333333,60.1666666667,0.1666666667,AJM,18.84103,10.92227,6.53103,12.3333333333,8E-05,223.3333333333,3.1833333333,2,19.2721,-99.2077,3.3104166667,20.5833333333,30.2083333333,21.5,14.625,8.75,5.9166666667,0.8457949185
3.6354166667,-1.6671466667,2016-01-15 00:00:00,618.91919,3.875,13.2916666667,17,39.7916666667,11.5416666667,4.5833333333,6.7916666667,33.2083333333,0.6666666667,AJM,20.97982,11.51202,3.97869,13.1791666667,1E-05,226.5416666667,2.7416666667,1,19.2721,-99.2077,1.925,9.75,15.125,25.9583333333,6.9166666667,3.625,3.3333333333,0.9583333333
4.0645833333,-2.4639033333,2016-01-16 00:00:00,987.74786,2.7916666667,12.625,15.5,41,14.2916666667,6.5,7.7083333333,13.75,0.7916666667,AJM,19.01876,11.20693,5.77053,13.6708333333,0,241.625,2.6375,1,19.2721,-99.2077,3.6354166667,13.2916666667,17,39.7916666667,11.5416666667,4.5833333333,6.7916666667,0.1666666667
4.9485180721,-1.9644666667,2016-01-17 00:00:00,12288.26074,4.3014950044,14.8714039083,19.3822350377,48.1774686335,19.6666666667,11.4166666667,8.5,18.8333333333,8.2873847554,AJM,22.28134,11.9147,3.95358,13.8791666667,0,175.5,2.9166666667,1,19.2721,-99.2077,4.0645833333,12.625,15.5,41,14.2916666667,6.5,7.7083333333,0.6666666667
10.5229166667,-1.4932733333,2016-01-18 00:00:00,9802.37598,5.7916666667,23.4166666667,29.2083333333,46.7083333333,40.5416666667,20.2083333333,20.2916666667,36.4166666667,2.0833333333,AJM,21.2788,12.10256,6.26235,13.5958333333,0,186.9166666667,2.65,2,19.2721,-99.2077,4.9485180721,14.8714039083,19.3822350377,48.1774686335,19.6666666667,11.4166666667,8.5,0.7916666667
9.55,-0.6227233333,2016-01-19 00:00:00,398.92398,6.0833333333,24.75,30.9583333333,33.4166666667,50.7916666667,32.5416666667,18.25,60.875,6.5416666667,AJM,18.62924,11.22311,4.82256,11.8458333333,0,144.9166666667,1.5333333333,2,19.2721,-99.2077,10.5229166667,23.4166666667,29.2083333333,46.7083333333,40.5416666667,20.2083333333,20.2916666667,8.2873847554
10.0702463183,-2.21188,2016-01-20 00:00:00,0,6.3186600059,22.2452052111,28.5235356058,39.5282915113,46.4166666667,28.0416666667,18.3333333333,44.25,4.3415130072,AJM,18.57348,11.42562,5.53781,13.6375,0,166.1666666667,2.1708333333,1,19.2721,-99.2077,9.55,24.75,30.9583333333,33.4166666667,50.7916666667,32.5416666667,18.25,2.0833333333
8.1821449129,-2.31909,2016-01-21 00:00:00,13111.23438,5.5833333333,22.0416666667,27.625,50.7083333333,33.798182316,17.9194327105,16.045642545,29.9583333333,3.5,AJM,21.92397,12.81841,6.40536,15.1375,0,160.875,2.5625,1,19.2721,-99.2077,10.0702463183,22.2452052111,28.5235356058,39.5282915113,46.4166666667,28.0416666667,18.3333333333,6.5416666667
10.1020833333,-2.2004433333,2016-01-22 00:00:00,16934.44141,2.125,20.25,22.4583333333,66.1666666667,44.9166666667,25.3333333333,19.5833333333,39.1666666667,4.5833333333,AJM,21.30111,11.40789,3.27169,13.6083333333,1E-05,195.4583333333,2.3541666667,1,19.2721,-99.2077,8.1821449129,22.0416666667,27.625,50.7083333333,33.798182316,17.9194327105,16.045642545,4.3415130072
10.1464347387,-1.8975966667,2016-01-23 00:00:00,33436.47266,5.3848283377,23.3714039083,28.7989017044,50.0108019668,39.5416666667,20.6666666667,18.8333333333,26.4583333333,5.7040514221,AJM,21.46273,11.39407,3.3088,13.2916666667,0,175.625,2.3666666667,1,19.2721,-99.2077,10.1020833333,20.25,22.4583333333,66.1666666667,44.9166666667,25.3333333333,19.5833333333,3.5
